t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,Tc,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1507719167.14,316.797,645.185,483.059,485.924,480.708,503.643,2.519,0.0,-0.000174174194996,0.00645161290323,0.49255816932,181.273022845,-3741.5453302,9.23903691379e-06,-20.6403869229
1507719167.15,316.797,1061.043,483.059,478.409,480.708,503.643,2.51,0.023,-0.000169490584977,0.0483870967742,0.488962300732,180.637424856,-3640.93376029,9.33398583039e-06,-20.1560322464
1507719167.16,316.797,1061.043,483.059,478.409,480.708,503.643,2.545,0.019,-0.000164858748334,0.0741935483871,0.485370131522,179.999161769,-3541.43436682,9.42782803375e-06,-19.6747269932
1507719167.18,481.34,1061.043,483.296,484.465,484.405,485.126,2.568,0.0,-0.000160279294505,0.0,0.481782950969,179.358146809,-3443.06024148,9.5205883683e-06,-19.1965645427
1507719167.19,481.34,481.399,483.296,484.465,484.405,485.126,2.545,0.042,-0.000155752836035,0.125806451613,0.478202050196,178.714303032,-3345.82454274,9.61229268707e-06,-18.7216383131
1507719167.2,481.34,481.399,483.296,484.465,484.405,485.126,2.548,0.0,-0.000151279943018,0.0,0.474628721982,178.067562083,-3249.73951718,9.70296893841e-06,-18.2500365544
1507719167.21,481.34,481.399,470.516,469.456,470.252,470.424,2.555,0.058,-0.000146861142696,0.158064516129,0.471064260249,177.417859963,-3154.81649078,9.79264760269e-06,-17.7818427718
1507719167.22,481.34,456.786,470.516,469.456,470.252,470.424,2.571,0.0,-0.000142496922994,0.0,0.467509959885,176.765133569,-3061.06594497,9.88136200161e-06,-17.3171364916
1507719167.23,481.34,456.786,470.516,469.456,468.85,470.424,2.577,0.035,-0.00013818770766,0.0967741935484,0.463967116651,176.109319379,-2968.49698257,9.96914901391e-06,-16.8559903191
1507719167.24,298.768,672.89,467.058,466.94,468.85,466.985,2.594,0.0,-0.000133933813749,0.0354838709677,0.460437026474,175.450353165,-2877.1164144,1.00560500564e-05,-16.3984646511
1507719167.25,298.768,672.89,467.058,466.94,468.85,466.985,2.561,0.0,-0.000129735415889,0.0,0.456920984371,174.788170151,-2786.92799179,1.01421118592e-05,-15.9446030551
1507719167.27,298.768,563.801,467.058,466.94,461.139,466.985,2.594,0.032,-0.000125592536561,0.0967741935484,0.45342028361,174.122705274,-2697.93219763,1.022738667e-05,-15.4944307429
1507719167.28,298.768,1019.52,460.589,459.053,461.139,458.534,2.503,0.0,-0.000121505069526,0.0,0.449936216138,173.453893541,-2610.12674979,1.03119317549e-05,-15.0479571055
1507719167.29,298.768,1019.52,460.589,459.053,461.139,458.534,2.574,0.058,-0.000117472836684,0.145161290323,0.446470074308,172.781671919,-2523.50782232,1.03958080242e-05,-14.6051823338
1507719167.3,298.768,1019.52,460.589,459.053,464.27,466.314,2.539,0.0,-0.000113495641689,0.0,0.443023151617,172.105982907,-2438.07119744,1.04790784911e-05,-14.1661036779
1507719167.31,460.886,462.491,463.063,463.937,464.27,466.314,2.529,0.058,-0.000109573285787,0.145161290323,0.43959673987,171.42677676,-2353.81260559,1.05618076015e-05,-13.7307172781
1507719167.32,460.886,462.491,463.063,463.937,464.27,466.314,2.548,0.0,-0.000105705578977,0.0,0.436192123107,170.74401014,-2270.72796522,1.06440610065e-05,-13.2990197627
1507719167.33,460.886,462.491,463.063,463.937,451.075,449.936,2.535,0.029,-0.000101892358637,0.0741935483871,0.432810573774,170.057642821,-2188.81378294,1.07259054756e-05,-12.8710109503
1507719167.34,460.886,422.608,436.643,449.063,451.075,449.936,2.571,0.006,-9.8133485073e-05,0.058064516129,0.429453355058,169.367635283,-2108.06705792,1.08074093838e-05,-12.4466935752
1507719167.36,460.886,422.608,436.643,449.063,451.075,449.936,2.535,0.0,-9.44288179451e-05,0.0,0.426121724503,168.673947614,-2028.48477541,1.08886435096e-05,-12.0260704401
1507719167.37,460.886,422.608,436.643,449.063,445.94,445.514,2.555,0.039,-9.07782022243e-05,0.112903225806,0.422816934707,167.976538834,-1950.06360514,1.09696815127e-05,-11.6091426735
1507719167.38,424.892,596.465,444.877,445.05,445.94,445.514,2.542,0.0,-8.7181474314e-05,0.0,0.419540233022,167.275366794,-1872.80003279,1.10505998844e-05,-11.1959104839
1507719167.39,424.892,596.465,444.877,445.05,445.94,445.514,2.526,0.058,-8.3638478133e-05,0.154838709677,0.416292861259,166.570389105,-1796.69070548,1.11314775438e-05,-10.7863751483
1507719167.4,424.892,612.82,444.877,445.05,439.547,445.514,2.548,0.0,-8.01490864144e-05,0.0,0.413076055044,165.8615647,-1721.73288931,1.12123952226e-05,-10.3805417031
1507719167.41,424.892,969.438,444.777,437.396,439.547,417.12,2.548,0.055,-7.67132125596e-05,0.125806451613,0.40989104382,165.148855525,-1647.924724,1.12934350401e-05,-9.97842049077
1507719167.42,424.892,969.438,444.777,437.396,439.547,417.12,2.516,0.0,-7.33308059513e-05,0.00967741935484,0.40673905148,164.432229114,-1575.26512221,1.13746803237e-05,-9.58002655991
1507719167.43,424.892,969.438,444.777,437.396,441.8,417.12,2.535,0.019,-7.00018629765e-05,0.0354838709677,0.403621296345,163.711661897,-1503.75400633,1.14562149419e-05,-9.18538110791
1507719167.45,438.597,439.805,446.294,441.385,441.8,443.563,2.581,0.023,-6.67264408823e-05,0.0838709677419,0.40053899047,162.987140752,-1433.39260612,1.15381227741e-05,-8.79451347821
1507719167.46,438.597,439.805,446.294,441.385,441.8,443.563,2.568,0.0,-6.35046177617e-05,0.0,0.397493339271,162.258660819,-1364.18259914,1.16204888859e-05,-8.40745629386
1507719167.47,438.597,439.805,446.294,441.385,428.521,443.563,2.526,0.048,-6.03364343862e-05,0.129032258065,0.394485541132,161.526221306,-1296.12486123,1.17034014217e-05,-8.02423811281
1507719167.48,438.597,439.805,429.184,426.404,428.521,446.947,2.558,0.0,-5.72218982757e-05,0.0,0.391516786676,160.789822674,-1229.21955393,1.17869519701e-05,-7.64488406967
1507719167.49,438.597,400.845,429.184,426.404,428.521,446.947,2.526,0.058,-5.41610274603e-05,0.158064516129,0.388588258667,160.04946582,-1163.46706455,1.18712348066e-05,-7.26942172903
1507719167.5,438.597,400.845,429.184,426.404,428.521,446.947,2.548,0.0,-5.11538766504e-05,0.0,0.385701132546,159.305151787,-1098.86856837,1.19563464717e-05,-6.89788469516
1507719167.51,281.03,674.673,422.728,421.775,405.701,424.138,2.548,0.042,-4.8200543117e-05,0.1,0.382856576302,158.556881591,-1035.42615493,1.20423857593e-05,-6.53031356657
1507719167.52,281.03,674.673,422.728,421.775,405.701,424.138,2.574,0.0,-4.53011514761e-05,0.0354838709677,0.380055749357,157.804656601,-973.142501171,1.21294540584e-05,-6.16675402445
1507719167.53,281.03,501.084,422.728,421.775,405.701,424.138,2.555,0.0,-4.24558176752e-05,0.0,0.377299801102,157.048479061,-912.020097845,1.22176561255e-05,-5.80725202369
1507719167.55,412.101,501.084,415.316,413.631,433.762,414.73,2.529,0.032,-3.9664630056e-05,0.103225806452,0.374589869752,156.288351895,-852.060842671,1.23071006041e-05,-5.45185122462
1507719167.56,412.101,501.084,415.316,413.631,433.762,414.73,2.565,0.0,-3.69276709142e-05,0.0,0.371927082139,155.524278319,-793.266503499,1.23978997138e-05,-5.100595946
1507719167.57,412.101,501.084,415.316,413.631,433.762,414.73,2.548,0.058,-3.4245038355e-05,0.151612903226,0.36931255448,154.756262319,-735.639187783,1.24901688308e-05,-4.75353421412
1507719167.58,413.188,501.084,415.568,408.685,416.876,417.374,2.568,0.0,-3.16168355424e-05,0.0161290322581,0.366747393104,153.984309486,-679.181111657,1.25840267348e-05,-4.41071635107
1507719167.59,413.188,414.788,415.568,408.685,416.876,417.374,2.571,0.01,-2.90431456852e-05,0.0161290322581,0.364232694208,153.208427284,-623.894062579,1.26795962367e-05,-4.07219154743
1507719167.61,413.188,414.788,415.568,408.685,416.876,417.374,2.568,0.035,-2.65240074907e-05,0.106451612903,0.361769542928,152.428624665,-569.778872049,1.27770048957e-05,-3.73800441551
1507719167.62,413.188,414.788,401.843,408.685,403.43,402.437,2.594,0.0,-2.40593911419e-05,0.0,0.35935901275,151.644911405,-516.834899546,1.28763858032e-05,-3.40819150974
1507719167.63,644.967,376.376,401.843,404.312,403.43,402.437,2.558,0.058,-2.16491776724e-05,0.154838709677,0.35700216497,150.857297883,-465.059589481,1.29778782445e-05,-3.0827782017
