t,dr,cr,cr2a,cr2b,pv,fdr,fcr
1491855414.923169, 0.757, 1.814, 2.630, 2.581, 7, 0.757, 1.814 
1491855415.023828, 0.506, 1.847, 2.675, 2.655, 7, 0.506, 1.847 
1491855415.124486, 0.616, 1.805, 2.565, 2.581, 7, 0.616, 1.805 
1491855415.225147, 0.799, 1.792, 2.514, 2.597, 7, 0.799, 1.792 
1491855415.325899, 0.412, 1.792, 2.565, 2.552, 7, 0.412, 1.792 
1491855415.426568, 0.616, 1.805, 2.597, 2.552, 8, 0.616, 1.805 
1491855415.527338, 0.848, 1.805, 2.546, 2.630, 8, 0.848, 1.805 
1491855415.627999, 0.412, 1.843, 2.639, 2.652, 8, 0.412, 1.843 
1491855415.728665, 0.819, 1.805, 2.552, 2.575, 8, 0.819, 1.805 
1491855415.829328, 0.442, 1.792, 2.565, 2.604, 8, 0.442, 1.792 
1491855415.929989, 0.296, 1.830, 2.655, 2.665, 8, 0.296, 1.830 
1491855416.030648, 0.941, 1.805, 2.601, 2.565, 8, 0.941, 1.805 
1491855416.131308, 0.587, 1.850, 2.668, 2.614, 8, 0.587, 1.850 
1491855416.231962, 0.354, 1.795, 2.572, 2.556, 8, 0.354, 1.795 
1491855416.332625, 0.880, 1.843, 2.597, 2.575, 8, 0.880, 1.843 
1491855416.433289, 0.567, 1.830, 2.633, 2.633, 9, 0.567, 1.830 
1491855416.534056, 0.467, 1.840, 2.668, 2.652, 9, 0.467, 1.840 
1491855416.634718, 0.906, 1.805, 2.565, 2.578, 9, 0.906, 1.805 
1491855416.735380, 0.641, 1.840, 2.630, 2.597, 9, 0.641, 1.840 
1491855416.836129, 0.429, 1.850, 2.668, 2.630, 9, 0.429, 1.850 
1491855416.936794, 0.790, 1.805, 2.597, 2.565, 9, 0.790, 1.805 
1491855417.037456, 0.332, 1.840, 2.633, 2.652, 9, 0.332, 1.840 
1491855417.138120, 0.429, 1.805, 2.588, 2.572, 9, 0.429, 1.805 
1491855417.238781, 1.060, 1.808, 2.578, 2.649, 9, 1.060, 1.808 
1491855417.339441, 0.313, 1.847, 2.672, 2.639, 9, 0.313, 1.847 
1491855417.440103, 0.238, 1.798, 2.578, 2.575, 10, 0.238, 1.798 
1491855417.540875, 0.993, 1.805, 2.556, 2.578, 10, 0.993, 1.805 
1491855417.641540, 0.558, 1.805, 2.588, 2.562, 10, 0.558, 1.805 
1491855417.742200, 0.319, 1.805, 2.597, 2.655, 10, 0.319, 1.805 
1491855417.842862, 0.864, 1.837, 2.630, 2.649, 10, 0.864, 1.837 
1491855417.943522, 0.835, 1.847, 2.649, 2.678, 10, 0.835, 1.847 
1491855418.044181, 0.313, 1.805, 2.617, 2.575, 10, 0.313, 1.805 
1491855418.144839, 0.783, 1.808, 2.607, 2.556, 10, 0.783, 1.808 
1491855418.245492, 0.645, 1.792, 2.597, 2.572, 10, 0.645, 1.792 
1491855418.346186, 0.222, 1.792, 2.581, 2.588, 10, 0.222, 1.792 
1491855418.446859, 0.925, 1.814, 2.655, 2.617, 11, 0.925, 1.814 
1491855418.547625, 0.819, 1.792, 2.552, 2.565, 11, 0.819, 1.792 
1491855418.648286, 0.035, 1.805, 2.536, 2.575, 11, 0.035, 1.805 
1491855418.748943, 0.922, 1.843, 2.655, 2.620, 11, 0.922, 1.843 
1491855418.849606, 1.289, 1.853, 2.701, 2.659, 11, 1.289, 1.853 
1491855418.950267, 0.087, 1.840, 2.630, 2.649, 11, 0.087, 1.840 
1491855419.050923, 0.274, 1.830, 2.588, 2.617, 11, 0.274, 1.830 
1491855419.151583, 1.276, 1.840, 2.617, 2.630, 11, 1.276, 1.840 
1491855419.252242, 0.284, 1.805, 2.601, 2.652, 11, 0.284, 1.805 
1491855419.352939, 0.197, 1.795, 2.588, 2.536, 11, 0.197, 1.795 
1491855419.453608, 1.292, 1.805, 2.568, 2.546, 12, 1.292, 1.805 
1491855419.554372, 0.719, 1.805, 2.601, 2.575, 12, 0.719, 1.805 
1491855419.655033, 0.055, 1.847, 2.665, 2.684, 12, 0.055, 1.847 
1491855419.755783, 0.944, 1.792, 2.562, 2.565, 12, 0.944, 1.792 
1491855419.856447, 1.057, 1.805, 2.565, 2.588, 12, 1.057, 1.805 
1491855419.957110, 0.068, 1.843, 2.630, 2.639, 12, 0.068, 1.843 
1491855420.057771, 0.267, 1.792, 2.556, 2.588, 12, 0.267, 1.792 
1491855420.158435, 1.331, 1.805, 2.588, 2.572, 12, 1.331, 1.805 
1491855420.259216, 0.503, 1.847, 2.655, 2.617, 12, 0.503, 1.847 
1491855420.359895, 0.035, 1.805, 2.604, 2.639, 12, 0.035, 1.805 
1491855420.460561, 1.299, 1.805, 2.575, 2.536, 13, 1.299, 1.805 
1491855420.561332, 0.831, 1.847, 2.649, 2.649, 13, 0.831, 1.847 
1491855420.661993, 0.226, 1.792, 2.536, 2.552, 13, 0.226, 1.792 
1491855420.762661, 0.616, 1.792, 2.572, 2.575, 13, 0.616, 1.792 
1491855420.863322, 1.057, 1.843, 2.691, 2.630, 13, 1.057, 1.843 
1491855420.963979, 0.967, 1.792, 2.565, 2.536, 13, 0.967, 1.792 
1491855421.064637, 0.180, 1.805, 2.604, 2.568, 13, 0.180, 1.805 
1491855421.165297, 0.052, 1.824, 2.617, 2.630, 13, 0.052, 1.824 
1491855421.266056, 1.160, 1.792, 2.572, 2.575, 13, 1.160, 1.792 
1491855421.367017, 0.828, 1.792, 2.604, 2.568, 13, 0.828, 1.792 
1491855421.467908, 0.064, 1.847, 2.672, 2.633, 14, 0.064, 1.847 
1491855421.568692, 0.999, 1.847, 2.701, 2.655, 14, 0.999, 1.847 
1491855421.669355, 1.196, 1.798, 2.552, 2.607, 14, 1.196, 1.798 
1491855421.770015, 0.219, 1.843, 2.691, 2.668, 14, 0.219, 1.843 
1491855421.870675, 0.264, 1.805, 2.565, 2.552, 14, 0.264, 1.805 
1491855421.971337, 0.815, 1.805, 2.597, 2.572, 14, 0.815, 1.805 
1491855422.071994, 0.970, 1.847, 2.639, 2.649, 14, 0.970, 1.847 
1491855422.172656, 0.632, 1.805, 2.588, 2.565, 14, 0.632, 1.805 
1491855422.273312, 0.506, 1.840, 2.655, 2.639, 14, 0.506, 1.840 
1491855422.373980, 0.367, 1.792, 2.552, 2.581, 14, 0.367, 1.792 
1491855422.474650, 0.851, 1.853, 2.668, 2.678, 15, 0.851, 1.853 
1491855422.575434, 1.341, 1.840, 2.630, 2.668, 15, 1.341, 1.840 
1491855422.676140, 0.058, 1.843, 2.704, 2.633, 15, 0.058, 1.843 
1491855422.776804, 0.509, 1.856, 2.630, 2.552, 15, 0.509, 1.856 
1491855422.877462, 1.412, 1.814, 2.581, 2.562, 15, 1.412, 1.814 
1491855422.978125, 0.593, 1.792, 2.552, 2.597, 15, 0.593, 1.792 
1491855423.078784, 0.458, 1.795, 2.552, 2.597, 15, 0.458, 1.795 
1491855423.179446, 0.596, 1.808, 2.630, 2.630, 15, 0.596, 1.808 
1491855423.280103, 0.712, 1.850, 2.649, 2.655, 15, 0.712, 1.850 
1491855423.380772, 0.790, 1.843, 2.597, 2.588, 15, 0.790, 1.843 
1491855423.481443, 0.912, 1.792, 2.556, 2.572, 16, 0.912, 1.792 
1491855423.582230, 0.471, 1.805, 2.575, 2.581, 16, 0.471, 1.805 
1491855423.682894, 0.274, 1.805, 2.601, 2.575, 16, 0.274, 1.805 
1491855423.783555, 0.980, 1.805, 2.578, 2.604, 16, 0.980, 1.805 
1491855423.884216, 0.993, 1.805, 2.575, 2.562, 16, 0.993, 1.805 
1491855423.984876, 0.480, 1.805, 2.601, 2.562, 16, 0.480, 1.805 
1491855424.085543, 0.490, 1.805, 2.572, 2.562, 16, 0.490, 1.805 
1491855424.186209, 0.635, 1.805, 2.581, 2.552, 16, 0.635, 1.805 
1491855424.286875, 0.786, 1.808, 2.565, 2.552, 16, 0.786, 1.808 
1491855424.387545, 0.886, 1.805, 2.552, 2.581, 16, 0.886, 1.805 
1491855424.488222, 0.883, 1.792, 2.578, 2.575, 17, 0.883, 1.792 
1491855424.589009, 0.432, 1.808, 2.546, 2.588, 17, 0.432, 1.808 
1491855424.689678, 0.342, 1.824, 2.630, 2.630, 17, 0.342, 1.824 
1491855424.790343, 0.922, 1.792, 2.562, 2.581, 17, 0.922, 1.792 
1491855424.891010, 1.025, 1.805, 2.562, 2.575, 17, 1.025, 1.805 
1491855424.992180, 0.532, 1.805, 2.552, 2.578, 17, 0.532, 1.805 
1491855425.092861, 0.651, 1.808, 2.581, 2.581, 17, 0.651, 1.808 
1491855425.193525, 0.612, 1.840, 2.630, 2.704, 17, 0.612, 1.840 
1491855425.294190, 0.635, 1.821, 2.597, 2.633, 17, 0.635, 1.821 
1491855425.394902, 0.790, 1.805, 2.565, 2.552, 17, 0.790, 1.805 
1491855425.495582, 0.925, 1.814, 2.630, 2.604, 18, 0.925, 1.814 
1491855425.596366, 0.896, 1.818, 2.572, 2.630, 18, 0.896, 1.818 
1491855425.697031, 0.361, 1.805, 2.565, 2.597, 18, 0.361, 1.805 
1491855425.797692, 0.567, 1.805, 2.588, 2.565, 18, 0.567, 1.805 
1491855425.898352, 0.828, 1.843, 2.649, 2.649, 18, 0.828, 1.843 
1491855425.999012, 0.799, 1.805, 2.617, 2.601, 18, 0.799, 1.805 
1491855426.099673, 0.822, 1.805, 2.588, 2.556, 18, 0.822, 1.805 
1491855426.200331, 0.728, 1.830, 2.681, 2.668, 18, 0.728, 1.830 
1491855426.300990, 0.622, 1.792, 2.581, 2.565, 18, 0.622, 1.792 
1491855426.401654, 0.380, 1.805, 2.565, 2.568, 18, 0.380, 1.805 
1491855426.502326, 0.651, 1.824, 2.575, 2.617, 19, 0.651, 1.824 
1491855426.603237, 1.038, 1.792, 2.530, 2.552, 19, 1.038, 1.792 
1491855426.703913, 0.738, 1.840, 2.630, 2.659, 19, 0.738, 1.840 
1491855426.804581, 0.622, 1.805, 2.565, 2.556, 19, 0.622, 1.805 
1491855426.905241, 0.677, 1.840, 2.659, 2.630, 19, 0.677, 1.840 
1491855427.005978, 0.548, 1.795, 2.597, 2.617, 19, 0.548, 1.795 
1491855427.106645, 0.599, 1.805, 2.597, 2.601, 19, 0.599, 1.805 
1491855427.207311, 0.806, 1.843, 2.588, 2.575, 19, 0.806, 1.843 
1491855427.307973, 0.864, 1.792, 2.630, 2.601, 19, 0.864, 1.792 
1491855427.408693, 0.915, 1.856, 2.684, 2.588, 19, 0.915, 1.856 
1491855427.509370, 0.683, 1.830, 2.649, 2.649, 20, 0.683, 1.830 
1491855427.610150, 0.561, 1.853, 2.678, 2.668, 20, 0.561, 1.853 
1491855427.710813, 0.728, 1.808, 2.601, 2.588, 20, 0.728, 1.808 
1491855427.811480, 0.764, 1.792, 2.578, 2.562, 20, 0.764, 1.792 
1491855427.912143, 0.732, 1.834, 2.655, 2.639, 20, 0.732, 1.834 
1491855428.012805, 0.999, 1.840, 2.672, 2.681, 20, 0.999, 1.840 
1491855428.113466, 1.009, 1.808, 2.588, 2.552, 20, 1.009, 1.808 
1491855428.214127, 0.835, 1.792, 2.575, 2.562, 20, 0.835, 1.792 
1491855428.314789, 0.696, 1.840, 2.630, 2.639, 20, 0.696, 1.840 
1491855428.415454, 0.535, 1.847, 2.607, 2.604, 20, 0.535, 1.847 
1491855428.516202, 0.773, 1.808, 2.565, 2.617, 21, 0.773, 1.808 
1491855428.616976, 0.889, 1.824, 2.630, 2.630, 21, 0.889, 1.824 
1491855428.717642, 0.854, 1.830, 2.649, 2.639, 21, 0.854, 1.830 
1491855428.818307, 0.815, 1.843, 2.668, 2.617, 21, 0.815, 1.843 
1491855428.918968, 1.128, 1.847, 2.668, 2.649, 21, 1.128, 1.847 
1491855429.019632, 0.857, 1.843, 2.675, 2.655, 21, 0.857, 1.843 
1491855429.120293, 0.744, 1.853, 2.672, 2.681, 21, 0.744, 1.853 
1491855429.220956, 0.645, 1.850, 2.617, 2.597, 21, 0.645, 1.850 
1491855429.321620, 0.561, 1.814, 2.597, 2.568, 21, 0.561, 1.814 
1491855429.422593, 0.796, 1.805, 2.552, 2.565, 22, 0.796, 1.805 
1491855429.523586, 0.867, 1.853, 2.655, 2.672, 22, 0.867, 1.853 
1491855429.624300, 0.806, 1.840, 2.617, 2.665, 22, 0.806, 1.840 
1491855429.724966, 0.860, 1.805, 2.581, 2.575, 22, 0.860, 1.805 
1491855429.825636, 1.131, 1.795, 2.552, 2.552, 22, 1.131, 1.795 
1491855429.926298, 0.790, 1.805, 2.565, 2.575, 22, 0.790, 1.805 
1491855430.026963, 0.738, 1.805, 2.527, 2.588, 22, 0.738, 1.805 
1491855430.127630, 0.657, 1.814, 2.601, 2.588, 22, 0.657, 1.814 
1491855430.228284, 0.680, 1.824, 2.597, 2.633, 22, 0.680, 1.824 
1491855430.328954, 0.857, 1.847, 2.672, 2.668, 22, 0.857, 1.847 
1491855430.429621, 0.780, 1.853, 2.704, 2.668, 23, 0.780, 1.853 
1491855430.530414, 0.670, 1.805, 2.630, 2.552, 23, 0.670, 1.805 
1491855430.631087, 0.670, 1.843, 2.665, 2.759, 23, 0.670, 1.843 
1491855430.731755, 0.999, 1.792, 2.572, 2.552, 23, 0.999, 1.792 
1491855430.832420, 1.031, 1.824, 2.601, 2.617, 23, 1.031, 1.824 
1491855430.933085, 0.880, 1.843, 2.630, 2.649, 23, 0.880, 1.843 
1491855431.033745, 0.880, 1.792, 2.562, 2.562, 23, 0.880, 1.792 
1491855431.134405, 0.777, 1.805, 2.588, 2.572, 23, 0.777, 1.805 
1491855431.235066, 0.654, 1.850, 2.675, 2.655, 23, 0.654, 1.850 
1491855431.335894, 0.893, 1.808, 2.575, 2.597, 23, 0.893, 1.808 
1491855431.436566, 0.783, 1.808, 2.601, 2.552, 24, 0.783, 1.808 
1491855431.537342, 0.580, 1.805, 2.597, 2.562, 24, 0.580, 1.805 
1491855431.638000, 0.712, 1.843, 2.665, 2.655, 24, 0.712, 1.843 
1491855431.738664, 0.741, 1.805, 2.552, 2.552, 24, 0.741, 1.805 
1491855431.839327, 0.712, 1.840, 2.668, 2.665, 24, 0.712, 1.840 
1491855431.939993, 0.809, 1.792, 2.578, 2.565, 24, 0.809, 1.792 
1491855432.040653, 0.960, 1.847, 2.617, 2.630, 24, 0.960, 1.847 
1491855432.141318, 0.825, 1.792, 2.575, 2.581, 24, 0.825, 1.792 
1491855432.241974, 0.880, 1.847, 2.649, 2.630, 24, 0.880, 1.847 
1491855432.342657, 0.954, 1.805, 2.575, 2.565, 24, 0.954, 1.805 
1491855432.443341, 1.157, 1.859, 2.668, 2.649, 25, 1.157, 1.859 
1491855432.544117, 0.957, 1.850, 2.681, 2.672, 25, 0.957, 1.850 
1491855432.644777, 0.912, 1.737, 2.617, 2.556, 25, 0.912, 1.737 
1491855432.745444, 0.809, 1.805, 2.588, 2.552, 25, 0.809, 1.805 
1491855432.846186, 0.773, 1.805, 2.655, 2.652, 25, 0.773, 1.805 
1491855432.946978, 0.703, 1.853, 2.655, 2.665, 25, 0.703, 1.853 
1491855433.047638, 0.999, 1.805, 2.575, 2.597, 25, 0.999, 1.805 
1491855433.148299, 0.732, 1.792, 2.552, 2.607, 25, 0.732, 1.792 
1491855433.248958, 0.696, 1.830, 2.630, 2.655, 25, 0.696, 1.830 
1491855433.349622, 0.686, 1.850, 2.701, 2.655, 25, 0.686, 1.850 
1491855433.450289, 0.835, 1.808, 2.575, 2.552, 26, 0.835, 1.808 
1491855433.551070, 0.719, 1.866, 2.572, 2.588, 26, 0.719, 1.866 
1491855433.651734, 0.757, 1.859, 2.655, 2.630, 26, 0.757, 1.859 
1491855433.752393, 1.005, 1.856, 2.630, 2.588, 26, 1.005, 1.856 
1491855433.853056, 0.773, 1.805, 2.588, 2.601, 26, 0.773, 1.805 
1491855433.953718, 0.593, 1.805, 2.588, 2.572, 26, 0.593, 1.805 
1491855434.054378, 0.661, 1.805, 2.552, 2.617, 26, 0.661, 1.805 
1491855434.155040, 0.870, 1.805, 2.630, 2.575, 26, 0.870, 1.805 
1491855434.255785, 0.889, 1.805, 2.575, 2.572, 26, 0.889, 1.805 
1491855434.356454, 0.661, 1.798, 2.552, 2.575, 26, 0.661, 1.798 
1491855434.457113, 0.883, 1.824, 2.604, 2.630, 27, 0.883, 1.824 
1491855434.557897, 1.022, 1.805, 2.588, 2.575, 27, 1.022, 1.805 
1491855434.658562, 0.725, 1.850, 2.678, 2.678, 27, 0.725, 1.850 
1491855434.759228, 0.761, 1.830, 2.655, 2.655, 27, 0.761, 1.830 
1491855434.859896, 0.896, 1.805, 2.617, 2.630, 27, 0.896, 1.805 
1491855434.960560, 0.980, 1.792, 2.536, 2.565, 27, 0.980, 1.792 
1491855435.061226, 0.815, 1.805, 2.568, 2.565, 27, 0.815, 1.805 
1491855435.161886, 0.764, 1.824, 2.630, 2.578, 27, 0.764, 1.824 
1491855435.262543, 0.944, 1.847, 2.668, 2.665, 27, 0.944, 1.847 
1491855435.363208, 1.121, 1.840, 2.668, 2.668, 27, 1.121, 1.840 
1491855435.463868, 0.738, 1.814, 2.617, 2.617, 28, 0.738, 1.814 
1491855435.564650, 0.844, 1.866, 2.588, 2.588, 28, 0.844, 1.866 
1491855435.665313, 0.947, 1.830, 2.691, 2.655, 28, 0.947, 1.830 
1491855435.766041, 1.083, 1.805, 2.575, 2.552, 28, 1.083, 1.805 
1491855435.866710, 0.809, 1.840, 2.655, 2.617, 28, 0.809, 1.840 
1491855435.967370, 0.780, 1.830, 2.630, 2.649, 28, 0.780, 1.830 
1491855436.068031, 0.951, 1.792, 2.581, 2.562, 28, 0.951, 1.792 
1491855436.168691, 1.022, 1.853, 2.601, 2.597, 28, 1.022, 1.853 
1491855436.269353, 0.635, 1.847, 2.678, 2.639, 28, 0.635, 1.847 
1491855436.370017, 0.786, 1.805, 2.572, 2.575, 28, 0.786, 1.805 
1491855436.470678, 1.015, 1.808, 2.604, 2.552, 29, 1.015, 1.808 
1491855436.571463, 1.054, 1.792, 2.575, 2.572, 29, 1.054, 1.792 
1491855436.672123, 0.828, 1.843, 2.668, 2.665, 29, 0.828, 1.843 
1491855436.772787, 0.645, 1.805, 2.552, 2.588, 29, 0.645, 1.805 
1491855436.873450, 0.941, 1.830, 2.659, 2.639, 29, 0.941, 1.830 
1491855436.974113, 1.018, 1.808, 2.597, 2.568, 29, 1.018, 1.808 
1491855437.074773, 0.686, 1.834, 2.649, 2.630, 29, 0.686, 1.834 
1491855437.175434, 0.593, 1.808, 2.630, 2.588, 29, 0.593, 1.808 
1491855437.276165, 0.860, 1.824, 2.630, 2.633, 29, 0.860, 1.824 
1491855437.376835, 1.092, 1.824, 2.597, 2.546, 29, 1.092, 1.824 
1491855437.477505, 0.877, 1.834, 2.617, 2.639, 30, 0.877, 1.834 
1491855437.578291, 0.648, 1.830, 2.639, 2.655, 30, 0.648, 1.830 
1491855437.678956, 0.815, 1.853, 2.710, 2.691, 30, 0.815, 1.853 
1491855437.779626, 1.044, 1.808, 2.588, 2.552, 30, 1.044, 1.808 
