t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T,Vpz1,Vpz2,Vpzbg,Vadcbg
1502799556.216906, 0.090, 0.751, 1.473, 1.470, 0, 0.090, 0.751, 0.000, 0.65419921875, 0.02578125, 0.0064453125, 0.0064453125 
1502799556.318864, 0.790, 0.754, 1.476, 1.473, 0, 0.790, 0.754, 0.000, 0.6509765625, 0.0064453125, 0.00322265625, 0.00322265625 
1502799556.420581, 0.648, 0.777, 1.518, 1.476, 0, 0.648, 0.777, 0.000, 0.6509765625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799556.522556, 0.016, 0.780, 1.511, 1.502, 0, 0.016, 0.780, 0.000, 0.6638671875, 0.0064453125, 0.0064453125, 0.0064453125 
1502799556.624342, 0.699, 0.780, 1.502, 1.502, 0, 0.699, 0.780, 0.000, 0.64775390625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799556.726230, 0.016, 0.777, 1.502, 1.476, 0, 0.016, 0.777, 0.000, 0.64775390625, 0.012890625, 0.0, 0.0 
1502799556.828032, 0.686, 0.777, 1.508, 1.492, 0, 0.686, 0.777, 0.000, 0.64453125, 0.0, 0.0, 0.00322265625 
1502799556.929891, 0.026, 0.780, 1.511, 1.502, 0, 0.026, 0.780, 0.000, 0.64453125, 0.0, 0.0, 0.0 
1502799557.031652, 0.625, 0.780, 1.511, 1.502, 0, 0.625, 0.780, 0.000, 0.64453125, 0.0, 0.0, 0.00322265625 
1502799557.133391, 0.645, 0.780, 1.508, 1.502, 0, 0.645, 0.780, 0.000, 0.631640625, 0.0, 0.00322265625, 0.00322265625 
1502799557.235174, 0.026, 0.780, 1.550, 1.518, 0, 0.026, 0.780, 0.000, 0.63486328125, 0.00322265625, 0.00322265625, 0.0 
1502799557.337550, 0.751, 0.790, 1.534, 1.518, 0, 0.751, 0.790, 0.000, 0.63486328125, 0.0064453125, 0.0064453125, 0.01611328125 
1502799557.440020, 0.016, 0.786, 1.534, 1.502, 0, 0.016, 0.786, 0.000, 0.64453125, 0.0064453125, 0.0064453125, 0.0064453125 
1502799557.541981, 0.754, 0.780, 1.502, 1.502, 0, 0.754, 0.780, 0.000, 0.20302734375, 0.00322265625, 0.0064453125, 0.0064453125 
1502799557.644096, 0.016, 0.780, 1.502, 1.492, 0, 0.016, 0.780, 0.000, 0.20302734375, 0.0, 0.00322265625, 0.0 
1502799557.746018, 0.738, 0.786, 1.540, 1.511, 0, 0.738, 0.786, 0.000, 0.20302734375, 0.0, 0.0, 0.0064453125 
1502799557.847945, 0.171, 0.780, 1.502, 1.502, 0, 0.171, 0.780, 0.000, 0.20302734375, 0.0, 0.0, 0.0 
1502799557.949907, 0.016, 0.780, 1.502, 1.473, 0, 0.016, 0.780, 0.000, 0.20302734375, 0.0, 0.0, 0.0 
1502799558.051733, 0.767, 0.790, 1.534, 1.502, 0, 0.767, 0.790, 0.000, 0.20302734375, 0.00322265625, 0.0064453125, 0.0064453125 
1502799558.153571, 0.016, 0.780, 1.518, 1.534, 0, 0.016, 0.780, 0.000, 0.20302734375, 0.00322265625, 0.00322265625, 0.0 
