t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T,Vpz1,Vpz2,Vpzbg,Vadcbg
1502799602.857829, 0.016, 0.780, 1.518, 1.511, 40, 0.016, 0.780, 0.000, 0.75087890625, 0.01611328125, 0.0, 0.0 
1502799602.959173, 0.751, 0.780, 1.534, 1.502, 40, 0.751, 0.780, 0.000, 0.75087890625, 0.01611328125, 0.0, 0.0 
1502799603.060597, 0.058, 0.773, 1.502, 1.502, 40, 0.058, 0.773, 0.000, 0.73798828125, 0.012890625, 0.0, 0.0 
1502799603.161851, 0.770, 0.780, 1.502, 1.479, 40, 0.770, 0.780, 0.000, 0.734765625, 0.012890625, 0.0, 0.0 
1502799603.263078, 0.822, 0.780, 1.502, 1.492, 40, 0.822, 0.780, 0.000, 0.74765625, 0.01611328125, 0.0, 0.0 
1502799603.364553, 0.738, 0.780, 1.534, 1.511, 40, 0.738, 0.780, 0.000, 0.75087890625, 0.01611328125, 0.00322265625, 0.00322265625 
1502799603.466187, 0.780, 0.780, 1.511, 1.511, 40, 0.780, 0.780, 0.000, 0.74765625, 0.01611328125, 0.0064453125, 0.0064453125 
1502799603.567586, 0.006, 0.754, 1.473, 1.028, 18, 0.006, 0.754, 0.000, 0.7283203125, 0.02578125, 0.00322265625, 0.00322265625 
1502799603.669157, 0.712, 0.802, 1.550, 1.550, 34, 0.712, 0.802, 0.000, 0.75087890625, 0.01611328125, 0.0064453125, 0.0064453125 
1502799603.770608, 0.738, 0.838, 1.605, 1.605, 83, 0.738, 0.838, 0.000, 0.77021484375, 0.0515625, 0.0322265625, 0.02578125 
1502799603.871928, 0.161, 0.767, 1.476, 1.476, 53, 0.161, 0.767, 0.000, 0.734765625, 0.05478515625, 0.02578125, 0.02900390625 
1502799603.973195, 0.058, 0.754, 1.470, 1.450, 0, 0.058, 0.754, 0.000, 0.7283203125, 0.01611328125, 0.0, 0.0 
1502799604.074421, 0.780, 0.754, 1.492, 1.476, 5, 0.780, 0.754, 0.000, 0.7283203125, 0.00322265625, 0.0, 0.0 
1502799604.175841, 0.709, 0.802, 1.560, 1.534, 25, 0.709, 0.802, 0.000, 0.75087890625, 0.00322265625, 0.0, 0.0 
1502799604.277127, 0.738, 0.870, 1.647, 1.647, 91, 0.738, 0.870, 0.000, 0.7798828125, 0.0580078125, 0.02578125, 0.01611328125 
1502799604.378324, 0.203, 0.799, 1.534, 1.518, 73, 0.203, 0.799, 0.000, 0.7541015625, 0.0451171875, 0.0322265625, 0.0322265625 
1502799604.479555, 0.090, 0.828, 1.595, 1.563, 128, 0.090, 0.828, 0.000, 0.77666015625, 0.0515625, 0.02900390625, 0.02578125 
1502799604.580896, 0.802, 0.754, 1.492, 1.470, 40, 0.802, 0.754, 0.000, 0.75087890625, 0.0451171875, 0.0322265625, 0.0322265625 
1502799604.682523, 0.052, 0.754, 1.473, 1.473, 40, 0.052, 0.754, 0.000, 0.7541015625, 0.012890625, 0.00322265625, 0.0 
1502799604.784144, 0.132, 0.754, 1.473, 1.473, 40, 0.132, 0.754, 0.000, 0.75087890625, 0.01611328125, 0.0064453125, 0.0064453125 
1502799604.885441, 0.035, 0.767, 1.473, 1.492, 40, 0.035, 0.767, 0.000, 0.75087890625, 0.012890625, 0.00322265625, 0.00322265625 
1502799604.986755, 0.802, 0.770, 1.492, 1.492, 40, 0.802, 0.770, 0.000, 0.75732421875, 0.02578125, 0.0064453125, 0.0064453125 
1502799605.088035, 0.751, 0.780, 1.518, 1.473, 40, 0.751, 0.780, 0.000, 0.75087890625, 0.02578125, 0.00322265625, 0.00322265625 
1502799605.189346, 0.058, 0.802, 1.540, 1.518, 40, 0.058, 0.802, 0.000, 0.7541015625, 0.02578125, 0.00322265625, 0.0064453125 
1502799605.290566, 0.780, 0.770, 1.502, 1.492, 40, 0.780, 0.770, 0.000, 0.75087890625, 0.02578125, 0.0, 0.0 
1502799605.391939, 0.812, 0.802, 1.547, 1.492, 40, 0.812, 0.802, 0.000, 0.7541015625, 0.01611328125, 0.0, 0.0 
1502799605.493351, 0.748, 0.780, 1.511, 1.534, 40, 0.748, 0.780, 0.000, 0.7669921875, 0.012890625, 0.0, 0.0 
1502799605.594660, 0.802, 0.780, 1.492, 1.511, 40, 0.802, 0.780, 0.000, 0.73798828125, 0.0064453125, 0.0, 0.0 
1502799605.696428, 0.003, 0.802, 1.553, 1.550, 40, 0.003, 0.802, 0.000, 0.75087890625, 0.0064453125, 0.0, 0.0 
1502799605.797923, 0.812, 0.780, 1.540, 1.508, 40, 0.812, 0.780, 0.000, 0.75087890625, 0.01611328125, 0.00322265625, 0.0 
1502799605.899313, 0.754, 0.770, 1.492, 1.492, 40, 0.754, 0.770, 0.000, 0.734765625, 0.0064453125, 0.0, 0.0 
1502799606.000599, 0.029, 0.802, 1.560, 1.550, 40, 0.029, 0.802, 0.000, 0.75087890625, 0.01611328125, 0.00322265625, 0.00322265625 
1502799606.101858, 0.003, 0.777, 1.511, 1.508, 40, 0.003, 0.777, 0.000, 0.73798828125, 0.01611328125, 0.0064453125, 0.0064453125 
1502799606.203151, 0.780, 0.777, 1.502, 1.476, 40, 0.780, 0.777, 0.000, 0.73798828125, 0.02578125, 0.00322265625, 0.00322265625 
1502799606.304417, 0.757, 0.802, 1.560, 1.534, 40, 0.757, 0.802, 0.000, 0.73798828125, 0.02578125, 0.00322265625, 0.0064453125 
1502799606.405697, 0.032, 0.780, 1.534, 1.511, 40, 0.032, 0.780, 0.000, 0.73798828125, 0.01611328125, 0.0064453125, 0.0064453125 
1502799606.507479, 0.780, 0.790, 1.518, 1.518, 40, 0.780, 0.790, 0.000, 0.75087890625, 0.02578125, 0.00322265625, 0.00322265625 
1502799606.609421, 0.822, 0.799, 1.560, 1.550, 40, 0.822, 0.799, 0.000, 0.73798828125, 0.01611328125, 0.0, 0.0 
1502799606.711353, 0.780, 0.754, 1.473, 1.457, 2, 0.780, 0.754, 0.000, 0.7154296875, 0.00322265625, 0.0, 0.0 
1502799606.813992, 0.790, 0.831, 1.605, 1.598, 89, 0.790, 0.831, 0.000, 0.7669921875, 0.04189453125, 0.012890625, 0.012890625 
1502799606.916113, 0.193, 0.812, 1.553, 1.563, 95, 0.193, 0.812, 0.000, 0.7669921875, 0.04189453125, 0.012890625, 0.01611328125 
1502799607.018014, 0.151, 0.754, 1.476, 1.473, 14, 0.151, 0.754, 0.000, 0.734765625, 0.02578125, 0.0, 0.0064453125 
1502799607.119902, 0.648, 0.838, 1.624, 1.627, 128, 0.648, 0.838, 0.000, 0.7798828125, 0.0451171875, 0.0322265625, 0.038671875 
1502799607.222024, 0.677, 0.812, 1.560, 1.511, 86, 0.677, 0.812, 0.000, 0.75087890625, 0.04189453125, 0.02900390625, 0.02900390625 
1502799607.323933, 0.715, 0.754, 1.476, 1.473, 51, 0.715, 0.754, 0.000, 0.75087890625, 0.02900390625, 0.0064453125, 0.0064453125 
1502799607.425692, 0.003, 0.780, 1.492, 1.470, 47, 0.003, 0.780, 0.000, 0.74765625, 0.01611328125, 0.0, 0.0 
1502799607.527385, 0.029, 0.812, 1.563, 1.502, 60, 0.029, 0.812, 0.000, 0.7669921875, 0.02578125, 0.00322265625, 0.00322265625 
1502799607.629324, 0.200, 0.754, 1.470, 1.470, 0, 0.200, 0.754, 0.000, 0.734765625, 0.01611328125, 0.0, 0.0 
1502799607.731171, 0.819, 0.812, 1.560, 1.511, 48, 0.819, 0.812, 0.000, 0.75087890625, 0.02578125, 0.0, 0.0 
1502799607.832959, 0.802, 0.812, 1.553, 1.544, 48, 0.802, 0.812, 0.000, 0.7541015625, 0.012890625, 0.0, 0.0 
1502799607.934815, 0.081, 0.802, 1.560, 1.534, 48, 0.081, 0.802, 0.000, 0.74765625, 0.012890625, 0.00322265625, 0.00322265625 
1502799608.036647, 0.802, 0.780, 1.502, 1.492, 48, 0.802, 0.780, 0.000, 0.73798828125, 0.01611328125, 0.00322265625, 0.00322265625 
1502799608.139101, 0.812, 0.812, 1.502, 1.492, 48, 0.812, 0.812, 0.000, 0.75087890625, 0.02578125, 0.00322265625, 0.00322265625 
1502799608.241099, 0.006, 0.799, 1.553, 1.544, 48, 0.006, 0.799, 0.000, 0.75732421875, 0.02578125, 0.00322265625, 0.0064453125 
1502799608.342901, 0.151, 0.780, 1.502, 1.511, 48, 0.151, 0.780, 0.000, 0.73798828125, 0.0322265625, 0.0064453125, 0.012890625 
1502799608.444800, 0.064, 0.802, 1.540, 1.502, 48, 0.064, 0.802, 0.000, 0.73798828125, 0.02578125, 0.00322265625, 0.00322265625 
1502799608.546755, 0.780, 0.780, 1.511, 1.502, 48, 0.780, 0.780, 0.000, 0.73798828125, 0.02578125, 0.0, 0.0 
1502799608.650494, 0.090, 0.780, 1.502, 1.502, 48, 0.090, 0.780, 0.000, 0.734765625, 0.012890625, 0.0, 0.0 
1502799608.752023, 0.006, 0.799, 1.550, 1.534, 48, 0.006, 0.799, 0.000, 0.75087890625, 0.012890625, 0.0, 0.0 
1502799608.853415, 0.003, 0.780, 1.511, 1.502, 48, 0.003, 0.780, 0.000, 0.73798828125, 0.01611328125, 0.0, 0.0 
1502799608.954806, 0.006, 0.780, 1.511, 1.534, 48, 0.006, 0.780, 0.000, 0.75087890625, 0.02900390625, 0.00322265625, 0.0064453125 
1502799609.056133, 0.106, 0.802, 1.534, 1.534, 48, 0.106, 0.802, 0.000, 0.73798828125, 0.01611328125, 0.0, 0.00322265625 
1502799609.157516, 0.815, 0.780, 1.502, 1.473, 48, 0.815, 0.780, 0.000, 0.73798828125, 0.02900390625, 0.00322265625, 0.00322265625 
1502799609.258913, 0.806, 0.799, 1.544, 1.518, 48, 0.806, 0.799, 0.000, 0.75087890625, 0.02578125, 0.0064453125, 0.0064453125 
1502799609.360219, 0.103, 0.802, 1.550, 1.508, 48, 0.103, 0.802, 0.000, 0.734765625, 0.02900390625, 0.0064453125, 0.0064453125 
1502799609.461509, 0.068, 0.777, 1.508, 1.492, 48, 0.068, 0.777, 0.000, 0.73798828125, 0.02900390625, 0.00322265625, 0.0064453125 
1502799609.562788, 0.812, 0.780, 1.544, 1.534, 48, 0.812, 0.780, 0.000, 0.7541015625, 0.02900390625, 0.0064453125, 0.0064453125 
1502799609.664109, 0.203, 0.828, 1.602, 1.579, 94, 0.203, 0.828, 0.000, 0.7798828125, 0.0515625, 0.02900390625, 0.02900390625 
1502799609.765877, 0.677, 0.786, 1.534, 1.547, 75, 0.677, 0.786, 0.000, 0.7798828125, 0.02578125, 0.012890625, 0.0064453125 
1502799609.867230, 0.045, 0.770, 1.479, 1.473, 54, 0.045, 0.770, 0.000, 0.75087890625, 0.02578125, 0.0, 0.0 
1502799609.968594, 0.699, 0.822, 1.576, 1.563, 127, 0.699, 0.822, 0.000, 0.7798828125, 0.04189453125, 0.02900390625, 0.02578125 
1502799610.069981, 0.719, 0.802, 1.560, 1.576, 128, 0.719, 0.802, 0.000, 0.812109375, 0.05478515625, 0.0322265625, 0.0322265625 
1502799610.171527, 0.780, 0.754, 1.470, 1.457, 39, 0.780, 0.754, 0.000, 0.77021484375, 0.02900390625, 0.02578125, 0.02578125 
1502799610.272995, 0.068, 0.754, 1.473, 1.476, 51, 0.068, 0.754, 0.000, 0.77666015625, 0.0064453125, 0.0, 0.0 
1502799610.374397, 0.151, 0.767, 1.476, 1.476, 33, 0.151, 0.767, 0.000, 0.77021484375, 0.012890625, 0.00322265625, 0.00322265625 
1502799610.475685, 0.686, 0.831, 1.579, 1.563, 125, 0.686, 0.831, 0.000, 0.82177734375, 0.04189453125, 0.0451171875, 0.04189453125 
1502799610.576911, 0.106, 0.754, 1.457, 1.473, 0, 0.106, 0.754, 0.000, 0.78955078125, 0.02578125, 0.02578125, 0.01611328125 
1502799610.678198, 0.161, 0.790, 1.534, 1.492, 48, 0.161, 0.790, 0.000, 0.7798828125, 0.02578125, 0.0064453125, 0.0064453125 
1502799610.779968, 0.029, 0.780, 1.508, 1.476, 48, 0.029, 0.780, 0.000, 0.786328125, 0.02578125, 0.00322265625, 0.00322265625 
1502799610.881473, 0.110, 0.780, 1.502, 1.502, 48, 0.110, 0.780, 0.000, 0.7798828125, 0.02578125, 0.00322265625, 0.0064453125 
1502799610.982791, 0.090, 0.780, 1.502, 1.492, 48, 0.090, 0.780, 0.000, 0.7798828125, 0.01611328125, 0.00322265625, 0.00322265625 
1502799611.084085, 0.058, 0.799, 1.560, 1.534, 48, 0.058, 0.799, 0.000, 0.79921875, 0.02578125, 0.0, 0.0 
1502799611.185363, 0.013, 0.780, 1.518, 1.476, 48, 0.013, 0.780, 0.000, 0.78955078125, 0.02578125, 0.0, 0.0 
1502799611.286728, 0.006, 0.812, 1.553, 1.547, 48, 0.006, 0.812, 0.000, 0.79921875, 0.012890625, 0.0, 0.0 
1502799611.388047, 0.090, 0.802, 1.573, 1.547, 48, 0.090, 0.802, 0.000, 0.80244140625, 0.01611328125, 0.0, 0.00322265625 
1502799611.490694, 0.090, 0.802, 1.553, 1.553, 48, 0.090, 0.802, 0.000, 0.80244140625, 0.01611328125, 0.0, 0.0 
1502799611.592397, 0.016, 0.790, 1.547, 1.550, 48, 0.016, 0.790, 0.000, 0.79921875, 0.0322265625, 0.0064453125, 0.0064453125 
1502799611.694490, 0.132, 0.780, 1.518, 1.540, 48, 0.132, 0.780, 0.000, 0.79921875, 0.02900390625, 0.0064453125, 0.012890625 
1502799611.796420, 0.006, 0.780, 1.511, 1.508, 48, 0.006, 0.780, 0.000, 0.7798828125, 0.02578125, 0.0064453125, 0.0064453125 
1502799611.898188, 0.006, 0.780, 1.502, 1.492, 48, 0.006, 0.780, 0.000, 0.7798828125, 0.0515625, 0.012890625, 0.012890625 
1502799612.000053, 0.790, 0.777, 1.502, 1.492, 48, 0.790, 0.777, 0.000, 0.78955078125, 0.02900390625, 0.00322265625, 0.00322265625 
1502799612.101840, 0.135, 0.780, 1.511, 1.502, 48, 0.135, 0.780, 0.000, 0.7798828125, 0.0451171875, 0.0064453125, 0.0064453125 
1502799612.203574, 0.074, 0.802, 1.550, 1.502, 48, 0.074, 0.802, 0.000, 0.7798828125, 0.02900390625, 0.0, 0.0 
1502799612.305376, 0.777, 0.802, 1.547, 1.540, 48, 0.777, 0.802, 0.000, 0.7798828125, 0.02900390625, 0.0, 0.0 
1502799612.407113, 0.119, 0.790, 1.544, 1.534, 48, 0.119, 0.790, 0.000, 0.7798828125, 0.02900390625, 0.0064453125, 0.0064453125 
1502799612.509208, 0.003, 0.780, 1.502, 1.518, 34, 0.003, 0.780, 0.000, 0.77666015625, 0.0064453125, 0.0, 0.00322265625 
1502799612.613194, 0.783, 0.802, 1.576, 1.560, 51, 0.783, 0.802, 0.000, 0.80244140625, 0.05478515625, 0.01611328125, 0.012890625 
1502799612.715206, 0.032, 0.802, 1.540, 1.534, 67, 0.032, 0.802, 0.000, 0.80244140625, 0.02900390625, 0.01611328125, 0.01611328125 
1502799612.817058, 0.686, 0.780, 1.534, 1.534, 60, 0.686, 0.780, 0.000, 0.79921875, 0.02578125, 0.0064453125, 0.0064453125 
1502799612.918871, 0.203, 0.831, 1.611, 1.611, 128, 0.203, 0.831, 0.000, 0.8185546875, 0.038671875, 0.0322265625, 0.02900390625 
1502799613.020635, 0.193, 0.757, 1.473, 1.473, 61, 0.193, 0.757, 0.000, 0.7798828125, 0.03544921875, 0.0064453125, 0.0064453125 
1502799613.122411, 0.699, 0.851, 1.560, 1.563, 115, 0.699, 0.851, 0.000, 0.79921875, 0.0580078125, 0.0322265625, 0.02900390625 
1502799613.224407, 0.203, 0.767, 1.473, 1.470, 45, 0.203, 0.767, 0.000, 0.77666015625, 0.0451171875, 0.012890625, 0.012890625 
1502799613.326193, 0.651, 0.780, 1.476, 1.473, 62, 0.651, 0.780, 0.000, 0.77666015625, 0.01611328125, 0.00322265625, 0.0064453125 
1502799613.428029, 0.074, 0.754, 1.473, 1.470, 0, 0.074, 0.754, 0.000, 0.7669921875, 0.01611328125, 0.0, 0.0 
1502799613.529985, 0.064, 0.812, 1.511, 1.492, 48, 0.064, 0.812, 0.000, 0.7798828125, 0.02578125, 0.0064453125, 0.0064453125 
1502799613.633168, 0.090, 0.780, 1.508, 1.492, 48, 0.090, 0.780, 0.000, 0.77666015625, 0.02900390625, 0.0064453125, 0.0064453125 
1502799613.734903, 0.013, 0.790, 1.508, 1.476, 48, 0.013, 0.790, 0.000, 0.7798828125, 0.02578125, 0.00322265625, 0.00322265625 
1502799613.836361, 0.006, 0.802, 1.547, 1.540, 48, 0.006, 0.802, 0.000, 0.80244140625, 0.02900390625, 0.00322265625, 0.0064453125 
1502799613.937741, 0.132, 0.777, 1.511, 1.502, 48, 0.132, 0.777, 0.000, 0.7798828125, 0.02900390625, 0.00322265625, 0.0064453125 
1502799614.039121, 0.055, 0.780, 1.508, 1.492, 48, 0.055, 0.780, 0.000, 0.7798828125, 0.02578125, 0.0, 0.0 
1502799614.140430, 0.055, 0.802, 1.560, 1.550, 48, 0.055, 0.802, 0.000, 0.79921875, 0.02578125, 0.0, 0.0 
1502799614.241661, 0.129, 0.780, 1.540, 1.511, 48, 0.129, 0.780, 0.000, 0.7798828125, 0.02578125, 0.0, 0.00322265625 
1502799614.342943, 0.013, 0.780, 1.502, 1.502, 48, 0.013, 0.780, 0.000, 0.7798828125, 0.01611328125, 0.0, 0.0 
1502799614.444290, 0.016, 0.780, 1.502, 1.492, 48, 0.016, 0.780, 0.000, 0.7798828125, 0.01611328125, 0.0, 0.0 
1502799614.545730, 0.790, 0.780, 1.489, 1.502, 48, 0.790, 0.780, 0.000, 0.786328125, 0.01611328125, 0.0, 0.0 
1502799614.647357, 0.168, 0.780, 1.508, 1.502, 48, 0.168, 0.780, 0.000, 0.7798828125, 0.01611328125, 0.00322265625, 0.0064453125 
1502799614.753556, 0.026, 0.802, 1.560, 1.534, 48, 0.026, 0.802, 0.000, 0.80244140625, 0.0322265625, 0.0064453125, 0.0064453125 
1502799614.855353, 0.006, 0.802, 1.560, 1.502, 48, 0.006, 0.802, 0.000, 0.7798828125, 0.038671875, 0.0064453125, 0.0064453125 
1502799614.957162, 0.068, 0.780, 1.502, 1.502, 48, 0.068, 0.780, 0.000, 0.7798828125, 0.02578125, 0.0, 0.00322265625 
1502799615.058678, 0.058, 0.780, 1.492, 1.473, 48, 0.058, 0.780, 0.000, 0.786328125, 0.01611328125, 0.0, 0.0 
1502799615.159955, 0.003, 0.780, 1.492, 1.476, 48, 0.003, 0.780, 0.000, 0.79921875, 0.04189453125, 0.0064453125, 0.0064453125 
1502799615.261264, 0.058, 0.799, 1.534, 1.534, 48, 0.058, 0.799, 0.000, 0.812109375, 0.02578125, 0.0, 0.00322265625 
1502799615.362629, 0.090, 0.780, 1.492, 1.492, 48, 0.090, 0.780, 0.000, 0.79921875, 0.038671875, 0.0064453125, 0.0064453125 
1502799615.464010, 0.006, 0.802, 1.544, 1.544, 48, 0.006, 0.802, 0.000, 0.80244140625, 0.05478515625, 0.0064453125, 0.0064453125 
1502799615.565369, 0.819, 0.802, 1.560, 1.547, 48, 0.819, 0.802, 0.000, 0.79921875, 0.05478515625, 0.0064453125, 0.0064453125 
1502799615.666652, 0.081, 0.802, 1.544, 1.547, 48, 0.081, 0.802, 0.000, 0.79921875, 0.038671875, 0.0064453125, 0.0064453125 
1502799615.767922, 0.110, 0.802, 1.550, 1.540, 48, 0.110, 0.802, 0.000, 0.78955078125, 0.02578125, 0.00322265625, 0.0064453125 
1502799615.870560, 0.058, 0.838, 1.627, 1.637, 103, 0.058, 0.838, 0.000, 0.837890625, 0.064453125, 0.0322265625, 0.0322265625 
1502799615.972257, 0.632, 0.754, 1.473, 1.473, 31, 0.632, 0.754, 0.000, 0.77021484375, 0.05478515625, 0.02578125, 0.02900390625 
1502799616.073795, 0.029, 0.777, 1.511, 1.508, 44, 0.029, 0.777, 0.000, 0.7798828125, 0.01611328125, 0.0, 0.00322265625 
1502799616.175322, 0.052, 0.770, 1.492, 1.479, 45, 0.052, 0.770, 0.000, 0.77021484375, 0.02578125, 0.00322265625, 0.0064453125 
1502799616.276659, 0.052, 0.754, 1.473, 1.457, 0, 0.052, 0.754, 0.000, 0.7669921875, 0.01611328125, 0.0, 0.0 
1502799616.377922, 0.686, 0.780, 1.508, 1.492, 15, 0.686, 0.780, 0.000, 0.7798828125, 0.00322265625, 0.0, 0.0 
1502799616.479879, 0.770, 0.873, 1.647, 1.647, 99, 0.770, 0.873, 0.000, 0.82822265625, 0.02900390625, 0.0064453125, 0.00322265625 
1502799616.581634, 0.648, 0.854, 1.576, 1.595, 125, 0.648, 0.854, 0.000, 0.812109375, 0.02900390625, 0.01611328125, 0.02578125 
1502799616.683336, 0.831, 0.754, 1.476, 1.457, 60, 0.831, 0.754, 0.000, 0.7669921875, 0.04189453125, 0.02578125, 0.02578125 
1502799616.785062, 0.081, 0.838, 1.637, 1.605, 128, 0.081, 0.838, 0.000, 0.812109375, 0.0451171875, 0.02578125, 0.02578125 
1502799616.886799, 0.899, 0.754, 1.492, 1.457, 56, 0.899, 0.754, 0.000, 0.7541015625, 0.0451171875, 0.04189453125, 0.04189453125 
1502799616.988834, 0.119, 0.780, 1.492, 1.470, 56, 0.119, 0.780, 0.000, 0.77021484375, 0.02578125, 0.00322265625, 0.0064453125 
1502799617.090696, 0.100, 0.786, 1.550, 1.518, 56, 0.100, 0.786, 0.000, 0.786328125, 0.0451171875, 0.01611328125, 0.012890625 
1502799617.192521, 0.667, 0.802, 1.511, 1.502, 56, 0.667, 0.802, 0.000, 0.7798828125, 0.05478515625, 0.012890625, 0.01611328125 
1502799617.294949, 0.013, 0.780, 1.502, 1.473, 56, 0.013, 0.780, 0.000, 0.77666015625, 0.02578125, 0.0, 0.0 
1502799617.396661, 0.058, 0.780, 1.502, 1.502, 56, 0.058, 0.780, 0.000, 0.7798828125, 0.02578125, 0.0, 0.0 
1502799617.498071, 0.151, 0.780, 1.511, 1.508, 56, 0.151, 0.780, 0.000, 0.77021484375, 0.02578125, 0.0, 0.0 
1502799617.599479, 0.090, 0.802, 1.502, 1.489, 56, 0.090, 0.802, 0.000, 0.7798828125, 0.02900390625, 0.00322265625, 0.0 
1502799617.701058, 0.090, 0.812, 1.560, 1.553, 56, 0.090, 0.812, 0.000, 0.7798828125, 0.02900390625, 0.00322265625, 0.00322265625 
1502799617.802432, 0.667, 0.802, 1.550, 1.544, 56, 0.667, 0.802, 0.000, 0.78955078125, 0.02578125, 0.00322265625, 0.0064453125 
1502799617.903723, 0.029, 0.812, 1.560, 1.518, 56, 0.029, 0.812, 0.000, 0.7798828125, 0.02578125, 0.00322265625, 0.0 
1502799618.004940, 0.068, 0.802, 1.560, 1.508, 56, 0.068, 0.802, 0.000, 0.7798828125, 0.02578125, 0.00322265625, 0.00322265625 
1502799618.106226, 0.151, 0.812, 1.518, 1.502, 56, 0.151, 0.812, 0.000, 0.7798828125, 0.02900390625, 0.0064453125, 0.0064453125 
1502799618.207693, 0.055, 0.812, 1.553, 1.547, 56, 0.055, 0.812, 0.000, 0.80244140625, 0.02900390625, 0.00322265625, 0.00322265625 
1502799618.308991, 0.029, 0.802, 1.550, 1.547, 56, 0.029, 0.802, 0.000, 0.79921875, 0.02900390625, 0.0064453125, 0.0064453125 
1502799618.410789, 0.667, 0.780, 1.534, 1.534, 56, 0.667, 0.780, 0.000, 0.79921875, 0.02900390625, 0.0064453125, 0.0064453125 
1502799618.512296, 0.039, 0.780, 1.502, 1.492, 56, 0.039, 0.780, 0.000, 0.7798828125, 0.02578125, 0.00322265625, 0.0064453125 
1502799618.613623, 0.045, 0.799, 1.553, 1.534, 56, 0.045, 0.799, 0.000, 0.78955078125, 0.02578125, 0.0, 0.0 
1502799618.714880, 0.161, 0.780, 1.508, 1.502, 56, 0.161, 0.780, 0.000, 0.7798828125, 0.01611328125, 0.0, 0.0 
1502799618.816135, 0.074, 0.780, 1.511, 1.540, 56, 0.074, 0.780, 0.000, 0.80244140625, 0.012890625, 0.0, 0.0 
1502799618.917411, 0.058, 0.780, 1.511, 1.492, 56, 0.058, 0.780, 0.000, 0.79921875, 0.01611328125, 0.0, 0.0 
1502799619.018721, 0.110, 0.780, 1.518, 1.534, 56, 0.110, 0.780, 0.000, 0.79921875, 0.02578125, 0.00322265625, 0.00322265625 
1502799619.120009, 0.068, 0.780, 1.502, 1.492, 56, 0.068, 0.780, 0.000, 0.78955078125, 0.01611328125, 0.0, 0.0 
1502799619.221538, 0.058, 0.812, 1.560, 1.502, 56, 0.058, 0.812, 0.000, 0.7798828125, 0.02900390625, 0.00322265625, 0.00322265625 
1502799619.322882, 0.193, 0.786, 1.544, 1.511, 56, 0.193, 0.786, 0.000, 0.80244140625, 0.02900390625, 0.0064453125, 0.0064453125 
1502799619.424239, 0.161, 0.799, 1.553, 1.547, 74, 0.161, 0.799, 0.000, 0.82177734375, 0.02900390625, 0.0064453125, 0.0064453125 
1502799619.525957, 0.193, 0.812, 1.560, 1.553, 111, 0.193, 0.812, 0.000, 0.82177734375, 0.06767578125, 0.03544921875, 0.03544921875 
1502799619.627467, 0.851, 0.780, 1.473, 1.479, 81, 0.851, 0.780, 0.000, 0.78955078125, 0.0451171875, 0.012890625, 0.01611328125 
1502799619.728880, 0.719, 0.838, 1.560, 1.534, 115, 0.719, 0.838, 0.000, 0.80244140625, 0.04189453125, 0.02900390625, 0.02900390625 
1502799619.830208, 0.831, 0.754, 1.476, 1.473, 0, 0.831, 0.754, 0.000, 0.7798828125, 0.02578125, 0.0, 0.0064453125 
1502799619.931449, 0.106, 0.754, 1.476, 1.470, 26, 0.106, 0.754, 0.000, 0.78955078125, 0.00322265625, 0.0, 0.0 
1502799620.032660, 0.151, 0.780, 1.534, 1.511, 74, 0.151, 0.780, 0.000, 0.80244140625, 0.03544921875, 0.012890625, 0.012890625 
1502799620.133895, 0.686, 0.799, 1.511, 1.508, 72, 0.686, 0.799, 0.000, 0.812109375, 0.02578125, 0.0, 0.0 
1502799620.235109, 0.064, 0.754, 1.473, 1.473, 29, 0.064, 0.754, 0.000, 0.7798828125, 0.012890625, 0.0, 0.0 
1502799620.336325, 0.677, 0.851, 1.644, 1.605, 128, 0.677, 0.851, 0.000, 0.8185546875, 0.03544921875, 0.02578125, 0.02578125 
1502799620.437769, 0.132, 0.767, 1.473, 1.470, 56, 0.132, 0.767, 0.000, 0.78955078125, 0.01611328125, 0.0, 0.0 
1502799620.539647, 0.074, 0.777, 1.492, 1.457, 56, 0.074, 0.777, 0.000, 0.80244140625, 0.01611328125, 0.00322265625, 0.00322265625 
1502799620.641280, 0.161, 0.770, 1.502, 1.502, 56, 0.161, 0.770, 0.000, 0.79921875, 0.02578125, 0.0064453125, 0.0064453125 
1502799620.742704, 0.029, 0.802, 1.560, 1.502, 56, 0.029, 0.802, 0.000, 0.80244140625, 0.01611328125, 0.00322265625, 0.00322265625 
1502799620.844029, 0.026, 0.812, 1.560, 1.553, 56, 0.026, 0.812, 0.000, 0.79921875, 0.0322265625, 0.0064453125, 0.0064453125 
1502799620.945244, 0.193, 0.790, 1.534, 1.518, 56, 0.193, 0.790, 0.000, 0.812109375, 0.02900390625, 0.0064453125, 0.0064453125 
1502799621.046573, 0.074, 0.780, 1.492, 1.492, 56, 0.074, 0.780, 0.000, 0.812109375, 0.02578125, 0.00322265625, 0.00322265625 
1502799621.148333, 0.068, 0.780, 1.508, 1.492, 56, 0.068, 0.780, 0.000, 0.812109375, 0.02578125, 0.0, 0.0 
1502799621.249837, 0.161, 0.812, 1.563, 1.492, 56, 0.161, 0.812, 0.000, 0.812109375, 0.01611328125, 0.0, 0.0 
1502799621.351156, 0.006, 0.799, 1.560, 1.544, 56, 0.006, 0.799, 0.000, 0.812109375, 0.02578125, 0.0, 0.0 
