t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,pv,T,Vpz,Vms
1505830528.172097, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.432, 0.032, 0.000, 0.000, 0.103225806452, 0.000 
1505830528.184281, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.461, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.196405, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.423, 0.052, 0.000, 0.000, 0.148387096774, 0.000 
1505830528.208885, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.410, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.221578, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.423, 0.016, 0.000, 0.000, 0.0258064516129, 0.000 
1505830528.234466, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.410, 0.035, 0.000, 0.000, 0.132258064516, 0.000 
1505830528.248864, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.261071, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.439, 0.029, 0.000, 0.000, 0.0709677419355, 0.000 
1505830528.272464, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.410, 0.010, 0.000, 0.000, 0.0645161290323, 0.000 
1505830528.283734, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.294974, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.423, 0.039, 0.000, 0.000, 0.11935483871, 0.000 
1505830528.306205, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.429, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.317421, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.448, 0.058, 0.000, 0.000, 0.158064516129, 0.000 
1505830528.328638, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.429, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.339923, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.458, 0.042, 0.000, 0.000, 0.109677419355, 0.000 
1505830528.351222, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.400, 0.000, 0.000, 0.000, 0.0258064516129, 0.000 
1505830528.362449, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.003, 0.000, 0.000, 0.0129032258065, 0.000 
1505830528.373672, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.439, 0.026, 0.000, 0.000, 0.0903225806452, 0.000 
1505830528.384891, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.439, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.396100, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.416, 0.055, 0.000, 0.000, 0.141935483871, 0.000 
1505830528.407316, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.406, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.418529, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.410, 0.055, 0.000, 0.000, 0.145161290323, 0.000 
1505830528.429742, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.403, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.440992, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.435, 0.029, 0.000, 0.000, 0.0774193548387, 0.000 
1505830528.452253, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.432, 0.006, 0.000, 0.000, 0.058064516129, 0.000 
1505830528.463576, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.432, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.474852, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.455, 0.042, 0.000, 0.000, 0.11935483871, 0.000 
1505830528.486099, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.497316, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.432, 0.055, 0.000, 0.000, 0.158064516129, 0.000 
1505830528.508528, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.416, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.519745, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.413, 0.048, 0.000, 0.000, 0.11935483871, 0.000 
1505830528.531071, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.435, 0.000, 0.000, 0.000, 0.0225806451613, 0.000 
1505830528.542301, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.442, 0.013, 0.000, 0.000, 0.0193548387097, 0.000 
1505830528.553520, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.432, 0.023, 0.000, 0.000, 0.0870967741935, 0.000 
1505830528.564775, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.439, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.575997, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.458, 0.055, 0.000, 0.000, 0.138709677419, 0.000 
1505830528.587269, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.442, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.598502, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.461, 0.058, 0.000, 0.000, 0.148387096774, 0.000 
1505830528.609908, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.419, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.621332, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.442, 0.029, 0.000, 0.000, 0.0645161290323, 0.000 
1505830528.632595, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.471, 0.010, 0.000, 0.000, 0.0645161290323, 0.000 
1505830528.643826, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.448, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.655042, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.419, 0.039, 0.000, 0.000, 0.11935483871, 0.000 
1505830528.666272, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.442, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.677516, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.432, 0.055, 0.000, 0.000, 0.158064516129, 0.000 
1505830528.688761, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.435, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.699985, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.045, 0.000, 0.000, 0.112903225806, 0.000 
1505830528.711289, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.468, 0.000, 0.000, 0.000, 0.0258064516129, 0.000 
1505830528.722518, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.010, 0.000, 0.000, 0.0161290322581, 0.000 
1505830528.733736, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.026, 0.000, 0.000, 0.0935483870968, 0.000 
1505830528.744954, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.429, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.756168, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.403, 0.048, 0.000, 0.000, 0.138709677419, 0.000 
1505830528.767460, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.468, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.778693, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.442, 0.055, 0.000, 0.000, 0.145161290323, 0.000 
1505830528.789917, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.423, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.801180, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.432, 0.032, 0.000, 0.000, 0.0741935483871, 0.000 
1505830528.812399, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.445, 0.006, 0.000, 0.000, 0.0612903225806, 0.000 
1505830528.823764, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.416, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.835012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.448, 0.039, 0.000, 0.000, 0.116129032258, 0.000 
1505830528.846248, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.458, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.857462, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.435, 0.055, 0.000, 0.000, 0.158064516129, 0.000 
1505830528.868679, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.406, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.879894, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.452, 0.042, 0.000, 0.000, 0.11935483871, 0.000 
1505830528.891173, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.000, 0.000, 0.000, 0.0225806451613, 0.000 
1505830528.902458, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.406, 0.010, 0.000, 0.000, 0.0193548387097, 0.000 
1505830528.913689, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.435, 0.023, 0.000, 0.000, 0.0870967741935, 0.000 
1505830528.924950, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.387, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.936171, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.468, 0.052, 0.000, 0.000, 0.138709677419, 0.000 
1505830528.947406, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.445, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.958620, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.055, 0.000, 0.000, 0.148387096774, 0.000 
1505830528.969854, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.442, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830528.981678, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.484, 0.023, 0.000, 0.000, 0.0516129032258, 0.000 
1505830528.993399, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.400, 0.019, 0.000, 0.000, 0.0870967741935, 0.000 
1505830529.005109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.423, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830529.016813, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.403, 0.055, 0.000, 0.000, 0.148387096774, 0.000 
1505830529.028533, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.452, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830529.040500, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.448, 0.039, 0.000, 0.000, 0.1, 0.000 
1505830529.052366, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.403, 0.006, 0.000, 0.000, 0.0612903225806, 0.000 
1505830529.064125, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.448, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830529.075857, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.435, 0.045, 0.000, 0.000, 0.135483870968, 0.000 
1505830529.087606, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.471, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830529.099369, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.406, 0.055, 0.000, 0.000, 0.132258064516, 0.000 
1505830529.111182, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.477, 0.000, 0.000, 0.000, 0.0225806451613, 0.000 
1505830529.122896, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.416, 0.006, 0.000, 0.000, 0.00322580645161, 0.000 
1505830529.134618, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.032, 0.000, 0.000, 0.116129032258, 0.000 
1505830529.146329, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.416, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830529.158034, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.471, 0.055, 0.000, 0.000, 0.151612903226, 0.000 
1505830529.169810, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.439, 0.000, 0.000, 0.000, 0.0, 0.000 
1505830529.183515, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.429, 0.000, 0.334, 0.000, 0.0, 0.000 
1505830529.195861, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.477, 0.052, 0.334, 0.000, 0.145161290323, 0.000 
1505830529.208668, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.445, 0.000, 0.334, 0.000, 0.0, 0.000 
1505830529.221383, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.381, 0.026, 0.334, 0.000, 0.0548387096774, 0.000 
1505830529.233930, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.458, 0.026, 0.334, 0.000, 0.106451612903, 0.000 
1505830529.246436, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.413, 0.000, 0.334, 0.000, 0.0, 0.000 
1505830529.258697, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.403, 0.055, 0.334, 0.000, 0.141935483871, 0.000 
1505830529.270830, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.419, 0.000, 0.334, 0.000, 0.0129032258065, 0.000 
1505830529.282680, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.419, 0.010, 0.334, 0.000, 0.0129032258065, 0.000 
1505830529.294490, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.477, 0.032, 0.334, 0.000, 0.109677419355, 0.000 
1505830529.306228, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.439, 0.000, 0.334, 0.000, 0.0, 0.000 
1505830529.318013, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.397, 0.058, 0.334, 0.000, 0.151612903226, 0.000 
1505830529.329749, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.413, 0.000, 0.334, 0.000, 0.0, 0.000 
1505830529.341788, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.435, 0.023, 0.334, 0.000, 0.0516129032258, 0.000 
1505830529.353576, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.406, 0.019, 0.334, 0.000, 0.0870967741935, 0.013 
1505830529.365398, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.481, 0.000, 0.334, 0.000, 0.0, 0.013 
1505830529.377148, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.439, 0.055, 0.334, 0.000, 0.148387096774, 0.013 
1505830529.388967, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.432, 0.000, 0.334, 0.000, 0.0, 0.026 
1505830529.400862, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.039, 0.334, 0.000, 0.0903225806452, 0.026 
1505830529.412671, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.439, 0.006, 0.334, 0.000, 0.0677419354839, 0.026 
1505830529.424519, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.429, 0.000, 0.334, 0.000, 0.0, 0.039 
1505830529.436353, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.429, 0.048, 0.334, 0.000, 0.138709677419, 0.039 
1505830529.448154, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.445, 0.000, 0.334, 0.000, 0.0, 0.052 
1505830529.460009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.045, 0.334, 0.000, 0.112903225806, 0.052 
1505830529.472098, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.426, 0.000, 0.334, 0.000, 0.0516129032258, 0.052 
1505830529.484006, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.406, 0.000, 0.334, 0.000, 0.0, 0.052 
1505830529.496375, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.442, 0.048, 0.334, 0.000, 0.135483870968, 0.065 
1505830529.508340, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.452, 0.000, 0.334, 0.000, 0.0, 0.065 
1505830529.520341, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.484, 0.045, 0.334, 0.000, 0.109677419355, 0.065 
