t,dr,fdr,cra,crb,pv,T,Vpz
1504007429.296241, 0.151, 0.161, 1.492, 1.473, 35, 17.000, 0.812109375 
1504007430.224872, 0.168, 0.693, 1.473, 1.470, 0, 17.000, 0.80244140625 
1504007431.144752, 0.110, 0.171, 1.511, 1.540, 64, 17.062, 0.80244140625 
1504007432.064822, 0.819, 0.026, 1.511, 1.553, 1, 17.062, 0.80244140625 
1504007432.984810, 0.180, 0.674, 1.502, 1.502, 128, 17.062, 0.7798828125 
1504007433.904887, 0.790, 0.677, 1.479, 1.473, 2, 17.062, 0.7798828125 
1504007434.824743, 0.703, 0.719, 1.540, 1.540, 43, 17.062, 0.786328125 
1504007435.744814, 0.058, 0.035, 1.511, 1.534, 3, 17.062, 0.7798828125 
1504007436.664775, 0.625, 0.725, 1.534, 1.508, 100, 17.062, 0.7798828125 
1504007437.584822, 0.802, 0.767, 1.470, 1.473, 0, 17.062, 0.75087890625 
1504007438.504801, 0.780, 0.119, 1.473, 1.473, 4, 17.062, 0.7669921875 
1504007439.427883, 0.709, 0.625, 1.518, 1.508, 29, 17.062, 0.7541015625 
1504007440.354788, 0.667, 0.677, 1.476, 1.473, 5, 17.062, 0.786328125 
1504007441.274830, 0.193, 0.699, 1.534, 1.540, 69, 17.062, 0.79921875 
1504007442.194871, 0.090, 0.735, 1.476, 1.473, 6, 17.062, 0.79921875 
1504007443.114842, 0.151, 0.648, 1.534, 1.534, 0, 17.062, 0.80244140625 
1504007444.034913, 0.709, 0.683, 1.492, 1.473, 7, 17.062, 0.812109375 
1504007444.954768, 0.674, 0.780, 1.502, 1.492, 128, 17.062, 0.79921875 
1504007445.874844, 0.180, 0.148, 1.534, 1.511, 8, 17.062, 0.79921875 
1504007446.794938, 0.657, 0.780, 1.502, 1.508, 21, 17.062, 0.80244140625 
1504007447.714967, 0.116, 0.780, 1.579, 1.595, 9, 17.062, 0.8185546875 
1504007448.634788, 0.754, 0.709, 1.492, 1.476, 9, 17.062, 0.7798828125 
1504007449.554808, 0.645, 0.686, 1.511, 1.502, 96, 17.062, 0.80244140625 
1504007450.474834, 0.802, 0.648, 1.637, 1.637, 10, 17.062, 0.812109375 
1504007451.394792, 0.180, 0.686, 1.508, 1.502, 19, 17.062, 0.812109375 
1504007452.314864, 0.677, 0.193, 1.605, 1.592, 11, 17.062, 0.82822265625 
1504007453.234776, 0.622, 0.725, 1.534, 1.508, 128, 17.062, 0.80244140625 
1504007454.154885, 0.751, 0.151, 1.605, 1.624, 12, 17.062, 0.8314453125 
1504007455.074798, 0.645, 0.712, 1.508, 1.518, 37, 17.062, 0.79921875 
1504007455.994881, 0.664, 0.090, 1.605, 1.624, 13, 17.062, 0.837890625 
1504007456.914854, 0.686, 0.725, 1.540, 1.511, 27, 17.062, 0.80244140625 
1504007457.834833, 0.664, 0.045, 1.579, 1.595, 14, 17.062, 0.85078125 
1504007458.754797, 0.039, 0.100, 1.476, 1.470, 14, 17.062, 0.80244140625 
1504007459.674740, 0.013, 0.780, 0.851, 0.851, 115, 17.062, 0.8572265625 
1504007460.594837, 0.751, 0.719, 1.492, 1.473, 15, 17.062, 0.7798828125 
1504007461.514894, 0.780, 0.748, 1.544, 1.547, 53, 17.062, 0.80244140625 
1504007462.434853, 0.081, 0.029, 1.647, 1.637, 16, 17.062, 0.8185546875 
1504007463.354780, 0.812, 0.735, 1.511, 1.502, 128, 17.062, 0.77666015625 
1504007464.274842, 0.777, 0.790, 1.508, 1.502, 17, 17.062, 0.7798828125 
