t,dr,fdr,cra,crb,pv,T,Vpz
1504003529.902602, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.915234375 
1504003530.824594, 0.003, 0.003, 1.028, 1.476, 64, 17.250, 0.89912109375 
1504003531.744548, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.89267578125 
1504003532.664511, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.89267578125 
1504003533.584797, 0.003, 0.003, 1.473, 1.492, 64, 17.250, 0.89267578125 
1504003534.504794, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.89267578125 
1504003535.424804, 0.003, 0.003, 1.470, 1.473, 64, 17.250, 0.8830078125 
1504003536.344777, 0.003, 0.003, 1.457, 1.476, 64, 17.250, 0.8830078125 
1504003537.264766, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.87978515625 
1504003538.184737, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.8765625 
1504003539.104810, 0.003, 0.003, 1.470, 1.470, 64, 17.250, 0.87333984375 
1504003540.024767, 0.003, 0.003, 1.457, 1.476, 64, 17.250, 0.8572265625 
1504003540.944729, 0.003, 0.003, 1.457, 1.476, 64, 17.250, 0.85078125 
1504003541.864790, 0.003, 0.003, 1.473, 1.473, 64, 17.250, 0.8314453125 
1504003542.784769, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.812109375 
1504003543.704791, 0.003, 0.003, 1.457, 1.473, 64, 17.250, 0.79921875 
1504003544.624764, 0.003, 0.003, 1.457, 1.473, 64, 17.250, 0.7798828125 
1504003545.544796, 0.003, 0.003, 1.450, 1.476, 64, 17.250, 0.77021484375 
1504003546.464750, 0.003, 0.003, 1.470, 1.476, 64, 17.250, 0.75087890625 
1504003547.384774, 0.003, 0.003, 1.473, 1.470, 64, 17.312, 0.73798828125 
1504003548.304803, 0.003, 0.003, 1.473, 1.492, 64, 17.250, 0.7283203125 
1504003549.224749, 0.003, 0.003, 1.476, 1.479, 64, 17.250, 0.72509765625 
