t,dr,fdr,cra,crb,pv,T,Vpz
1504179679.550489, 1.647, 1.644, 0.029, 0.029, 0, 0.000, 0.85078125 
1504179679.665249, 0.944, 1.637, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179679.767098, 0.883, 1.598, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179679.868745, 0.722, 1.547, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179679.970460, 0.822, 1.547, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179680.072109, 0.006, 1.028, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179680.173742, 0.735, 0.976, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179680.275338, 0.667, 0.925, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179680.376922, 0.822, 0.880, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179680.478545, 0.751, 0.838, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179680.580159, 0.799, 0.819, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179680.682236, 0.722, 0.773, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179680.783905, 0.677, 0.722, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179680.885536, 0.667, 0.654, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179680.987097, 0.184, 0.203, 0.000, 0.000, 0, 0.000, 0.85078125 
1504179681.088672, 0.677, 0.203, 0.000, 0.000, 0, 0.000, 0.837890625 
1504179681.190219, 0.667, 0.151, 0.000, 0.000, 0, 0.000, 0.837890625 
1504179681.291878, 0.709, 0.119, 0.000, 0.000, 0, 0.000, 0.837890625 
1504179681.393436, 0.667, 0.106, 0.000, 0.000, 0, 0.000, 0.837890625 
1504179681.495173, 0.683, 0.068, 0.000, 0.000, 0, 0.000, 0.837890625 
1504179681.597034, 0.667, 0.058, 0.000, 0.000, 0, 0.000, 0.8314453125 
1504179681.699056, 0.715, 0.029, 0.000, 0.000, 0, 0.000, 0.8314453125 
1504179681.800850, 0.677, 0.026, 0.000, 0.000, 0, 0.000, 0.8314453125 
1504179681.902479, 0.773, 0.006, 0.000, 0.000, 0, 0.000, 0.82177734375 
1504179682.004154, 0.632, 0.822, 0.000, 0.000, 0, 0.000, 0.82177734375 
1504179682.105727, 0.058, 0.812, 0.000, 0.000, 0, 0.000, 0.8314453125 
1504179682.207346, 0.090, 0.799, 0.000, 0.000, 0, 0.000, 0.8314453125 
1504179682.308857, 0.193, 0.773, 0.000, 0.000, 0, 0.000, 0.82822265625 
1504179682.410908, 0.651, 0.751, 0.000, 0.000, 0, 0.000, 0.82177734375 
1504179682.512479, 0.780, 0.751, 0.000, 0.000, 0, 0.000, 0.82177734375 
1504179682.614272, 0.738, 0.738, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179682.716266, 0.100, 0.735, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179682.817956, 0.203, 0.735, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179682.919625, 0.116, 0.735, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179683.021380, 0.116, 0.735, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179683.122892, 0.058, 0.735, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179683.224400, 0.780, 0.735, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179683.325897, 0.735, 0.735, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179683.427476, 0.081, 0.728, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179683.529034, 0.058, 0.725, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179683.630825, 0.045, 0.722, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179683.732924, 0.045, 0.722, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179683.834688, 0.090, 0.722, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179683.936221, 0.200, 0.722, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179684.037686, 0.751, 0.722, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179684.139190, 0.000, 0.722, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179684.240836, 0.064, 0.722, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179684.342350, 0.058, 0.722, 0.000, 0.000, 8, 0.000, 0.82177734375 
1504179684.443944, 0.132, 0.722, 0.000, 0.000, 8, 0.000, 0.82177734375 
