t,dr,fdr,cra,crb,pv,T,Vpz
1504175850.857903, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.95068359375 
1504175850.959995, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.94423828125 
1504175851.061799, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.941015625 
1504175851.163432, 1.647, 1.647, 0.812, 0.819, 16, 0.000, 0.95068359375 
1504175851.264981, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.95712890625 
1504175851.366549, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.95712890625 
1504175851.468220, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.95068359375 
1504175851.569735, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.941015625 
1504175851.671298, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.9345703125 
1504175851.772815, 1.647, 1.647, 0.812, 0.819, 16, 0.000, 0.941015625 
1504175851.874886, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.941015625 
1504175851.979471, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.95068359375 
1504175852.081306, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.941015625 
1504175852.182928, 1.647, 1.647, 0.819, 0.812, 16, 0.000, 0.941015625 
1504175852.284476, 1.647, 1.647, 0.812, 0.812, 16, 0.000, 0.95068359375 
1504175852.386028, 1.647, 1.647, 0.799, 0.812, 16, 0.000, 0.95068359375 
1504175852.487583, 1.647, 1.647, 0.812, 0.819, 16, 0.000, 0.95068359375 
1504175852.589200, 1.647, 1.647, 0.812, 0.819, 16, 0.000, 0.941015625 
1504175852.690722, 1.647, 1.647, 0.819, 0.819, 16, 0.000, 0.9345703125 
1504175852.792283, 1.647, 1.647, 0.819, 0.812, 16, 0.000, 0.9345703125 
1504175852.894269, 1.647, 1.647, 0.799, 0.799, 24, 0.000, 0.941015625 
1504175852.998781, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.941015625 
1504175853.100629, 1.647, 1.647, 0.799, 0.812, 24, 0.000, 0.94423828125 
1504175853.202247, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.941015625 
1504175853.303812, 1.647, 1.647, 0.799, 0.812, 24, 0.000, 0.95712890625 
1504175853.405372, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.95712890625 
1504175853.506920, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.95068359375 
1504175853.608570, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.941015625 
1504175853.710066, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.9345703125 
1504175853.811617, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.941015625 
1504175853.913377, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.94423828125 
1504175854.024350, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.95068359375 
1504175854.126096, 1.647, 1.647, 0.819, 0.812, 24, 0.000, 0.95068359375 
1504175854.227749, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.95068359375 
1504175854.329384, 1.647, 1.647, 0.819, 0.819, 24, 0.000, 0.95068359375 
1504175854.431017, 1.647, 1.647, 0.819, 0.812, 24, 0.000, 0.95068359375 
1504175854.532626, 1.647, 1.647, 0.819, 0.812, 24, 0.000, 0.941015625 
1504175854.634191, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.9345703125 
1504175854.735741, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.941015625 
1504175854.837268, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.95068359375 
1504175854.947856, 1.647, 1.647, 0.799, 0.812, 24, 0.000, 0.95068359375 
1504175855.050426, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.95068359375 
1504175855.152251, 1.647, 1.647, 0.819, 0.812, 24, 0.000, 0.97646484375 
1504175855.253989, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.95068359375 
1504175855.356001, 1.647, 1.647, 0.819, 0.812, 24, 0.000, 0.95068359375 
1504175855.457726, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.941015625 
1504175855.559327, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.941015625 
1504175855.660873, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.941015625 
1504175855.762445, 1.647, 1.647, 0.799, 0.799, 24, 0.000, 0.95712890625 
1504175855.864063, 1.647, 1.647, 0.812, 0.812, 24, 0.000, 0.95068359375 
1504175855.966029, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.95068359375 
1504175856.068279, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.97646484375 
1504175856.170045, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.97646484375 
1504175856.271627, 1.647, 1.647, 0.799, 0.799, 32, 0.000, 0.95068359375 
1504175856.373180, 1.647, 1.647, 0.799, 0.812, 32, 0.000, 0.941015625 
1504175856.474791, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.941015625 
1504175856.576324, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.95068359375 
1504175856.678099, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.95068359375 
1504175856.779726, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.95068359375 
1504175856.881332, 1.647, 1.647, 0.799, 0.812, 32, 0.000, 0.97646484375 
1504175856.983135, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.97646484375 
1504175857.085143, 1.647, 1.647, 0.799, 0.812, 32, 0.000, 0.95068359375 
1504175857.186839, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.941015625 
1504175857.288575, 1.647, 1.647, 0.799, 0.812, 32, 0.000, 0.95068359375 
1504175857.390082, 1.647, 1.647, 0.799, 0.799, 32, 0.000, 0.9603515625 
1504175857.491722, 1.647, 1.647, 0.799, 0.812, 32, 0.000, 0.9603515625 
1504175857.593317, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.97646484375 
1504175857.694846, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.97646484375 
1504175857.796346, 1.647, 1.647, 0.799, 0.799, 32, 0.000, 0.97646484375 
1504175857.897827, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.95068359375 
1504175857.999588, 1.647, 1.647, 0.799, 0.799, 32, 0.000, 0.94423828125 
1504175858.101583, 1.647, 1.647, 0.799, 0.812, 32, 0.000, 0.9603515625 
1504175858.203317, 1.647, 1.647, 0.799, 0.799, 32, 0.000, 0.97646484375 
1504175858.304922, 1.647, 1.647, 0.799, 0.799, 32, 0.000, 0.97646484375 
1504175858.406469, 1.647, 1.647, 0.799, 0.799, 32, 0.000, 0.97646484375 
1504175858.508132, 1.647, 1.647, 0.799, 0.799, 32, 0.000, 0.97646484375 
1504175858.609649, 1.647, 1.647, 0.799, 0.812, 32, 0.000, 0.97646484375 
1504175858.711249, 1.647, 1.647, 0.812, 0.812, 32, 0.000, 0.95712890625 
1504175858.812784, 1.647, 1.647, 0.799, 0.799, 32, 0.000, 0.95712890625 
1504175858.914350, 1.647, 1.647, 0.799, 0.812, 32, 0.000, 0.97646484375 
1504175859.015967, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.97646484375 
1504175859.118015, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.97646484375 
1504175859.219696, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 1.00546875 
1504175859.321445, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 0.97646484375 
1504175859.423043, 1.647, 1.647, 0.799, 0.812, 40, 0.000, 0.97646484375 
1504175859.524574, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.9603515625 
1504175859.626194, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.97646484375 
1504175859.727763, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.97646484375 
1504175859.829292, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.97646484375 
