t,dr,fdr,cra,crb,pv,T,Vpz
1504008083.121987, 0.100, 0.135, 1.476, 1.473, 70, 17.062, 0.8185546875 
1504008084.044874, 0.851, 0.180, 1.605, 1.579, 0, 17.062, 0.85400390625 
1504008084.964787, 0.151, 0.632, 1.534, 1.511, 98, 17.062, 0.82177734375 
1504008085.884874, 0.677, 0.632, 1.511, 1.511, 0, 17.062, 0.82177734375 
1504008086.804883, 0.200, 0.719, 1.511, 1.492, 0, 17.062, 0.82177734375 
1504008087.724836, 0.203, 0.632, 1.644, 1.637, 0, 17.062, 0.8572265625 
1504008088.644784, 0.654, 0.770, 1.502, 1.473, 90, 17.062, 0.812109375 
1504008089.564846, 0.081, 0.103, 1.492, 1.473, 0, 17.062, 0.8185546875 
1504008090.484823, 0.664, 0.780, 1.492, 1.476, 58, 17.062, 0.7798828125 
1504008091.404923, 0.068, 0.790, 1.563, 1.576, 0, 17.062, 0.7798828125 
1504008092.325032, 0.068, 0.203, 1.492, 1.473, 0, 17.062, 0.7798828125 
1504008093.244832, 0.693, 0.686, 0.851, 1.647, 18, 17.125, 0.82822265625 
1504008094.164838, 0.161, 0.074, 1.605, 1.637, 0, 17.062, 0.79921875 
1504008095.084839, 0.645, 0.622, 1.534, 1.550, 74, 17.125, 0.73798828125 
1504008096.004879, 0.161, 0.151, 1.576, 1.560, 0, 17.062, 0.7541015625 
1504008096.924886, 0.751, 0.754, 1.492, 1.502, 0, 17.125, 0.77666015625 
1504008097.844840, 0.812, 0.780, 1.627, 1.637, 0, 17.125, 0.7798828125 
1504008098.764819, 0.667, 0.790, 1.489, 1.476, 99, 17.125, 0.7541015625 
1504008099.684868, 0.139, 0.148, 1.492, 1.502, 0, 17.125, 0.73798828125 
1504008100.604861, 0.635, 0.748, 1.502, 1.492, 42, 17.125, 0.734765625 
1504008101.524873, 0.751, 0.738, 1.534, 1.553, 0, 17.125, 0.74765625 
1504008102.445030, 0.048, 0.664, 1.492, 1.476, 0, 17.125, 0.75087890625 
1504008103.364889, 0.193, 0.683, 1.647, 1.647, 74, 17.125, 0.79921875 
1504008104.284856, 0.135, 0.667, 1.473, 1.473, 0, 17.125, 0.7798828125 
1504008105.204878, 0.151, 0.645, 1.540, 1.540, 37, 17.125, 0.812109375 
1504008106.124852, 0.068, 0.129, 1.605, 1.605, 0, 17.125, 0.8314453125 
1504008107.044837, 0.686, 0.654, 1.544, 1.518, 128, 17.125, 0.78955078125 
1504008107.964846, 1.470, 0.786, 1.492, 1.492, 0, 17.125, 0.82177734375 
1504008108.884808, 0.180, 0.683, 1.518, 1.511, 19, 17.125, 0.82177734375 
1504008109.804885, 0.161, 0.132, 1.473, 1.473, 0, 17.125, 0.80244140625 
1504008110.724837, 0.632, 0.187, 1.473, 1.476, 127, 17.125, 0.78955078125 
1504008111.644859, 0.180, 0.006, 1.553, 1.534, 0, 17.125, 0.80244140625 
1504008112.565013, 0.193, 0.193, 1.473, 1.476, 0, 17.125, 0.77666015625 
1504008113.484796, 0.686, 0.683, 1.637, 1.605, 86, 17.125, 0.82177734375 
1504008114.404964, 0.699, 0.677, 1.476, 1.473, 0, 17.125, 0.7798828125 
1504008115.324826, 0.651, 0.645, 1.553, 1.518, 109, 17.125, 0.7798828125 
1504008116.244816, 0.812, 0.709, 1.492, 1.508, 0, 17.125, 0.80244140625 
