tau,gam_dot,mu
4.70606,5.00028,0.941159
5.91964,6.29512,0.940354
7.48506,7.92506,0.944479
9.41584,9.97715,0.943741
11.8347,12.5604,0.942219
14.8836,15.8125,0.941257
18.7071,19.9069,0.939727
23.5166,25.0616,0.938352
29.5559,31.5502,0.936789
37.1463,39.7191,0.935226
46.6758,50.0035,0.933452
58.6514,62.9515,0.931692
73.6784,79.252,0.929672
92.5669,99.7739,0.927766
116.339,125.604,0.926235
146.198,158.125,0.924575
183.626,199.069,0.922422
230.012,250.025,0.919958
4.60472,4.99993,0.920956
5.74095,6.29435,0.91208
7.17084,7.92413,0.904937
9.01263,9.97604,0.903427
11.3325,12.559,0.902341
14.2476,15.8114,0.9011
17.9016,19.905,0.899351
22.5123,25.0584,0.898393
28.3046,31.5469,0.897223
35.5852,39.7154,0.896007
44.7353,49.9986,0.894732
56.2412,62.944,0.893512
70.7033,79.2421,0.892244
88.9063,99.7598,0.891205
111.763,125.592,0.889894
140.505,158.111,0.888648
176.632,199.049,0.887378
221.452,249.997,0.885818
4.57185,5.00007,0.914358
5.68292,6.29489,0.902783
7.08595,7.92475,0.894154
8.88904,9.9768,0.890971
11.1582,12.5598,0.888402
14.0297,15.8118,0.88729
17.65,19.9062,0.886658
22.1941,25.0605,0.885621
27.9116,31.549,0.884708
35.1168,39.7178,0.884157
44.1538,50.0024,0.883033
55.4965,62.9481,0.881624
69.8041,79.2472,0.88084
87.7381,99.7663,0.879437
110.328,125.598,0.878418
138.739,158.123,0.877415
174.376,199.064,0.87598
218.724,250.007,0.874873
