tau,gam_dot,mu
2.113,5.00024,0.422581
2.62484,6.29478,0.416987
3.25791,7.92474,0.411106
4.10985,9.97659,0.41195
5.16825,12.5598,0.41149
6.50381,15.8123,0.411315
8.17587,19.9062,0.410719
10.2714,25.0601,0.409869
12.9142,31.549,0.409337
16.2295,39.7176,0.408622
20.4071,50.0009,0.408134
25.6576,62.9489,0.407594
32.2377,79.2476,0.406797
40.5334,99.768,0.406277
50.9368,125.6,0.405547
63.9647,158.119,0.404534
80.3605,199.062,0.403696
100.775,250.02,0.403067
2.08631,5.00061,0.417212
2.49957,6.29519,0.39706
3.11303,7.9252,0.392802
3.89247,9.97706,0.390142
4.91811,12.5603,0.391559
6.18905,15.8128,0.391395
7.7719,19.9067,0.390417
9.77657,25.0609,0.390113
12.288,31.55,0.389475
15.4469,39.7194,0.3889
19.4096,50.0037,0.388163
24.3964,62.9507,0.387547
30.6688,79.2502,0.386988
38.5289,99.7709,0.386173
48.4067,125.607,0.385384
60.8213,158.128,0.384634
76.4503,199.072,0.384034
95.867,250.018,0.38344
2.05444,4.99944,0.410935
2.55925,6.29389,0.406625
3.19482,7.92364,0.403201
4.02792,9.97544,0.403784
5.06351,12.5581,0.403206
6.37239,15.8096,0.40307
8.02515,19.9035,0.403203
10.088,25.0563,0.402615
12.6894,31.544,0.402276
15.9636,39.7114,0.401991
20.073,49.994,0.401508
25.2285,62.9387,0.400843
31.7236,79.2353,0.400373
39.8758,99.7525,0.399747
50.0989,125.584,0.398927
62.9284,158.096,0.398038
79.0758,199.035,0.397297
99.1496,249.968,0.396648
