tau,gam_dot,mu
5.94424,5.00016,1.18881
7.42686,6.29482,1.17984
9.30563,7.92482,1.17424
11.6904,9.97677,1.17176
14.6921,12.5597,1.16978
18.4798,15.8121,1.16871
23.2357,19.9063,1.16725
29.2437,25.0604,1.16693
36.7774,31.5492,1.16572
46.2499,39.7176,1.16447
58.1636,50.0018,1.16323
73.1311,62.9503,1.16173
91.9175,79.2475,1.15988
115.548,99.7663,1.15819
145.34,125.601,1.15716
182.754,158.118,1.15581
229.577,199.06,1.1533
287.632,250.013,1.15047
5.3557,5.0003,1.07107
6.72939,6.29469,1.06906
8.44046,7.9247,1.06508
10.6211,9.97664,1.0646
13.3651,12.56,1.0641
16.8162,15.8121,1.0635
21.1339,19.9059,1.06169
26.5833,25.0598,1.06079
33.4409,31.5485,1.05998
42.0374,39.7177,1.0584
52.8567,50.001,1.05711
66.4849,62.9473,1.0562
83.5619,79.2477,1.05444
104.997,99.7659,1.05243
131.841,125.601,1.04968
165.434,158.121,1.04625
207.794,199.062,1.04387
260.46,250.009,1.0418
6.06999,5.00005,1.21399
7.48507,6.29483,1.18908
9.34247,7.92486,1.17888
11.6704,9.97679,1.16976
14.675,12.5599,1.1684
18.4448,15.8119,1.16651
23.2115,19.9062,1.16604
29.1893,25.0606,1.16475
36.6941,31.549,1.16308
46.1507,39.718,1.16196
58.0581,50.0008,1.16114
73.0167,62.9479,1.15996
91.7926,79.2458,1.15833
115.447,99.7677,1.15716
145.167,125.599,1.1558
182.467,158.122,1.15396
229.347,199.06,1.15215
287.396,250.008,1.14955
