tau,gam_dot,mu
3.15759,4.99975,0.631549
3.86894,6.29432,0.614671
4.81974,7.9243,0.608222
6.02896,9.976,0.604347
7.5773,12.5589,0.603339
9.53314,15.811,0.602944
11.9861,19.9046,0.602177
15.0805,25.0586,0.60181
18.9564,31.5467,0.6009
23.8353,39.7151,0.600156
29.9647,49.9977,0.599322
37.6693,62.9443,0.598456
47.3607,79.2426,0.597667
59.5215,99.761,0.596641
74.7923,125.589,0.59553
93.9866,158.108,0.594444
118.142,199.047,0.593538
148.139,249.993,0.592574
3.21151,5.00019,0.642278
4.01006,6.2947,0.637053
4.98546,7.92437,0.62913
6.27338,9.97648,0.628817
7.88458,12.5598,0.627761
9.91169,15.8118,0.626856
12.467,19.9056,0.626306
15.6674,25.0591,0.625216
19.7067,31.5484,0.624651
24.7744,39.7168,0.623776
31.1407,50.0011,0.622799
39.1497,62.947,0.621947
49.2109,79.2458,0.620991
61.8478,99.7653,0.619933
77.7532,125.598,0.619063
97.7108,158.119,0.617956
122.838,199.056,0.617105
154.067,250.006,0.616251
3.15803,5.00002,0.631604
3.88938,6.29471,0.617881
4.82345,7.92452,0.608673
6.04826,9.97649,0.606252
7.59728,12.5596,0.604901
9.5563,15.8118,0.604379
12.0226,19.9056,0.603984
15.115,25.0597,0.60316
19.0021,31.5483,0.602317
23.8923,39.7176,0.601556
30.0304,50.0007,0.600599
37.7487,62.9475,0.599685
47.4521,79.2456,0.598798
59.6517,99.7647,0.597924
74.9886,125.596,0.597064
94.2722,158.117,0.596218
118.465,199.058,0.595127
148.451,250.006,0.593789
