t,spd0,spd1,spd2,spd3,spd4,spd5,Vcr,adc0,dc,T,Vpz,Vms
1509364099.198503, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.000, 30.000, 0.000, 0.00967741935484, 0.877 
1509364099.209759, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.590, 0.029, 30.000, 0.000, 0.0741935483871, 0.903 
1509364099.221048, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.013, 30.000, 0.000, 0.0967741935484, 0.916 
1509364099.232315, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.000, 30.000, 0.000, 0.0, 0.916 
1509364099.243585, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.594, 0.052, 30.000, 0.000, 0.158064516129, 0.942 
1509364099.254874, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.610, 0.000, 30.000, 0.000, 0.0, 0.942 
1509364099.266218, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.600, 0.068, 30.000, 0.000, 0.193548387097, 0.942 
1509364099.277520, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.000, 30.000, 0.000, 0.0, 0.955 
1509364099.288794, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.623, 0.045, 30.000, 0.000, 0.122580645161, 0.968 
1509364099.300075, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.594, 0.000, 30.000, 0.000, 0.0612903225806, 0.968 
1509364099.311306, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.623, 0.000, 30.000, 0.000, 0.0, 0.981 
1509364099.322540, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.629, 0.035, 30.000, 0.000, 0.135483870968, 1.006 
1509364099.333875, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.000, 30.000, 0.000, 0.0, 1.006 
1509364099.345185, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.568, 0.065, 30.000, 0.000, 0.187096774194, 1.019 
1509364099.356550, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.000, 30.000, 0.000, 0.0, 1.032 
1509364099.367819, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.645, 0.058, 30.000, 0.000, 0.158064516129, 1.045 
1509364099.379100, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.616, 0.000, 30.000, 0.000, 0.0225806451613, 1.045 
1509364099.390366, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.632, 0.023, 30.000, 0.000, 0.0483870967742, 1.045 
1509364099.401636, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.635, 0.019, 30.000, 0.000, 0.109677419355, 1.071 
1509364099.412949, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.000, 30.000, 0.000, 0.0, 1.071 
1509364099.424241, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.603, 0.055, 30.000, 0.000, 0.167741935484, 1.071 
1509364099.435502, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.000, 30.000, 0.000, 0.0, 1.097 
1509364099.446864, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.597, 0.065, 30.000, 0.000, 0.187096774194, 1.097 
1509364099.458165, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.616, 0.000, 30.000, 0.000, 0.0, 1.097 
1509364099.469529, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.645, 0.039, 30.000, 0.000, 0.0870967741935, 1.110 
1509364099.481388, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.587, 0.016, 30.000, 0.000, 0.109677419355, 1.123 
1509364099.493301, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.652, 0.000, 30.000, 0.000, 0.0, 1.135 
1509364099.505103, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.635, 0.061, 30.000, 0.000, 0.18064516129, 1.135 
1509364099.517195, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.626, 0.000, 30.000, 0.000, 0.0, 1.148 
1509364099.529000, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.645, 0.045, 30.000, 0.000, 0.116129032258, 1.148 
1509364099.540933, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.616, 0.013, 30.000, 0.000, 0.0903225806452, 1.174 
1509364099.552963, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.610, 0.000, 30.000, 0.000, 0.0, 1.161 
1509364099.564902, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.642, 0.058, 30.000, 17.000, 0.177419354839, 1.174 
1509364099.576922, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.665, 0.000, 30.000, 17.000, 0.0, 1.187 
1509364099.588841, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.655, 0.052, 30.000, 17.000, 0.129032258065, 1.200 
1509364099.600688, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.661, 0.003, 30.000, 17.000, 0.0838709677419, 1.200 
1509364099.612642, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.645, 0.000, 30.000, 17.000, 0.0, 1.213 
1509364099.624490, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.623, 0.055, 30.000, 17.000, 0.170967741935, 1.213 
1509364099.636346, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.658, 0.000, 30.000, 17.000, 0.0, 1.226 
1509364099.648198, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.661, 0.061, 30.000, 17.000, 0.154838709677, 1.226 
1509364099.660012, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.655, 0.000, 30.000, 17.000, 0.0548387096774, 1.239 
1509364099.671877, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.610, 0.000, 30.000, 17.000, 0.0, 1.239 
1509364099.683652, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.629, 0.045, 30.000, 17.000, 0.158064516129, 1.252 
1509364099.695516, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.661, 0.000, 30.000, 17.000, 0.0, 1.265 
1509364099.707416, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.681, 0.065, 30.000, 17.000, 0.170967741935, 1.265 
1509364099.719302, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.665, 0.000, 30.000, 17.000, 0.0258064516129, 1.277 
1509364099.731090, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.671, 0.013, 30.000, 17.000, 0.0225806451613, 1.277 
1509364099.742903, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.632, 0.032, 30.000, 17.000, 0.138709677419, 1.290 
1509364099.754702, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.639, 0.000, 30.000, 17.000, 0.0, 1.290 
1509364099.766650, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.065, 30.000, 17.000, 0.187096774194, 1.303 
1509364099.778432, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.642, 0.000, 30.000, 17.000, 0.00322580645161, 1.303 
1509364099.790356, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.029, 30.000, 17.000, 0.0645161290323, 1.316 
1509364099.802135, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.629, 0.026, 30.000, 17.000, 0.11935483871, 1.316 
1509364099.814047, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.674, 0.000, 30.000, 17.000, 0.0, 1.329 
1509364099.825896, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.065, 30.000, 17.000, 0.187096774194, 1.329 
1509364099.837843, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.000, 30.000, 17.000, 0.0, 1.342 
1509364099.849663, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.674, 0.042, 30.000, 17.000, 0.0967741935484, 1.342 
1509364099.861559, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.655, 0.013, 30.000, 17.000, 0.103225806452, 1.355 
1509364099.873324, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.000, 30.000, 17.000, 0.0, 1.355 
1509364099.885252, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.642, 0.061, 30.000, 17.000, 0.177419354839, 1.355 
1509364099.897111, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.000, 30.000, 17.000, 0.0, 1.368 
1509364099.908990, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.052, 30.000, 17.000, 0.135483870968, 1.368 
1509364099.920774, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.671, 0.003, 30.000, 17.000, 0.0774193548387, 1.368 
1509364099.932672, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.658, 0.000, 30.000, 17.000, 0.0, 1.394 
1509364099.944481, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.639, 0.055, 30.000, 17.000, 0.164516129032, 1.381 
1509364099.956441, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.661, 0.000, 30.000, 17.000, 0.0, 1.406 
1509364099.968251, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.652, 0.055, 30.000, 17.000, 0.158064516129, 1.394 
1509364099.980202, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.623, 0.000, 30.000, 17.000, 0.0483870967742, 1.406 
1509364099.992229, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.629, 0.000, 30.000, 17.000, 0.0, 1.406 
1509364100.004078, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.632, 0.048, 30.000, 17.000, 0.158064516129, 1.419 
1509364100.015986, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.000, 30.000, 17.000, 0.0, 1.419 
1509364100.027916, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.584, 0.065, 30.000, 17.000, 0.170967741935, 1.432 
1509364100.039797, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.652, 0.000, 30.000, 17.000, 0.0354838709677, 1.432 
1509364100.051597, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.594, 0.010, 30.000, 17.000, 0.0129032258065, 1.445 
1509364100.063684, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.639, 0.045, 30.000, 17.000, 0.151612903226, 1.432 
1509364100.075721, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.000, 30.000, 17.000, 0.0, 1.445 
1509364100.087808, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.652, 0.061, 30.000, 17.000, 0.170967741935, 1.445 
1509364100.099627, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.000, 30.000, 17.000, 0.0290322580645, 1.458 
1509364100.111486, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.652, 0.013, 30.000, 17.000, 0.0225806451613, 1.471 
1509364100.123281, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.661, 0.035, 30.000, 17.000, 0.141935483871, 1.471 
1509364100.135193, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.645, 0.000, 30.000, 17.000, 0.0, 1.471 
1509364100.147485, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.635, 0.068, 30.000, 17.000, 0.18064516129, 1.471 
1509364100.159306, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.687, 0.000, 30.000, 17.000, 0.0129032258065, 1.471 
1509364100.171168, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.677, 0.016, 30.000, 17.000, 0.0354838709677, 1.458 
1509364100.183047, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.645, 0.035, 30.000, 17.000, 0.138709677419, 1.484 
1509364100.194939, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.610, 0.000, 30.000, 17.000, 0.0, 1.484 
1509364100.206840, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.623, 0.065, 30.000, 17.000, 0.190322580645, 1.510 
1509364100.218685, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.626, 0.000, 30.000, 17.000, 0.0, 1.497 
1509364100.230546, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.668, 0.035, 30.000, 17.000, 0.0741935483871, 1.510 
1509364100.242438, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.681, 0.026, 30.000, 17.000, 0.11935483871, 1.497 
1509364100.254287, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.000, 30.000, 17.000, 0.0, 1.523 
1509364100.266177, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.645, 0.061, 30.000, 17.000, 0.183870967742, 1.510 
1509364100.278053, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.658, 0.000, 30.000, 17.000, 0.0, 1.510 
1509364100.289902, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.045, 30.000, 17.000, 0.106451612903, 1.523 
1509364100.301743, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.632, 0.006, 30.000, 17.000, 0.0967741935484, 1.535 
1509364100.313614, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.665, 0.000, 30.000, 17.000, 0.0, 1.535 
1509364100.325485, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.642, 0.058, 30.000, 17.000, 0.177419354839, 1.535 
1509364100.337395, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.652, 0.000, 30.000, 17.000, 0.0, 1.535 
1509364100.349275, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.629, 0.052, 30.000, 17.000, 0.138709677419, 1.535 
1509364100.361104, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.645, 0.000, 30.000, 17.000, 0.0709677419355, 1.535 
1509364100.372910, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.677, 0.000, 30.000, 17.000, 0.0, 1.561 
1509364100.384749, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.690, 0.055, 30.000, 17.000, 0.164516129032, 1.548 
1509364100.396766, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.671, 0.000, 30.000, 17.000, 0.0, 1.548 
1509364100.408645, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.642, 0.058, 30.000, 17.000, 0.164516129032, 1.561 
1509364100.420478, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.652, 0.000, 30.000, 17.000, 0.0451612903226, 1.574 
