Time/s, Dynamo Reading/V, HES Reading/V, Potentiometer Value/7-bitFiltered Dynamo Reading/V, 14:27 15-03-2017
1489588062.532757, 0.003, 0.709, 0, -145.92327168 
1489588062.633122, 0.003, 0.709, 0, -145.92327168 
1489588062.733473, 0.003, 0.709, 0, -145.92327168 
1489588062.833750, 0.003, 0.709, 0, -145.92327168 
1489588062.934025, 0.003, 0.709, 0, -145.92327168 
1489588063.034298, 0.003, 0.709, 0, -145.92327168 
1489588063.134573, 0.003, 0.709, 0, -145.92327168 
1489588063.234840, 0.003, 0.709, 0, -145.92327168 
1489588063.335154, 0.003, 0.709, 0, -145.92327168 
1489588063.435419, 0.003, 0.709, 0, -145.92327168 
1489588063.535712, 0.003, 0.709, 0, -145.92327168 
1489588063.635971, 0.003, 0.709, 0, -145.92327168 
1489588063.736226, 0.003, 0.709, 16, -145.92327168 
1489588063.836531, 0.003, 0.709, 16, -145.92327168 
1489588063.936794, 0.003, 0.709, 16, -145.92327168 
1489588064.037049, 0.003, 0.709, 16, -145.92327168 
1489588064.137307, 0.003, 0.709, 16, -145.92327168 
1489588064.237558, 0.003, 0.709, 16, -145.92327168 
1489588064.337811, 0.003, 0.709, 16, -145.92327168 
1489588064.438075, 0.003, 0.709, 16, -145.92327168 
1489588064.538331, 0.003, 0.709, 16, -145.92327168 
1489588064.638587, 0.003, 0.709, 16, -145.92327168 
1489588064.738842, 0.003, 0.709, 16, -145.92327168 
1489588064.839098, 0.003, 0.709, 16, -145.92327168 
1489588064.939355, 0.003, 0.709, 16, -145.92327168 
1489588065.039611, 0.003, 0.709, 16, -145.92327168 
1489588065.139881, 0.003, 0.709, 16, -145.92327168 
1489588065.240133, 0.003, 0.709, 16, -145.92327168 
1489588065.340400, 0.003, 0.709, 16, -145.92327168 
1489588065.440676, 0.003, 0.709, 16, -145.92327168 
1489588065.540949, 0.003, 0.709, 16, -145.92327168 
1489588065.641225, 0.003, 0.709, 16, -145.92327168 
1489588065.741499, 0.003, 0.709, 16, -145.92327168 
1489588065.841772, 0.003, 0.709, 16, -145.92327168 
1489588065.942046, 0.003, 0.709, 16, -145.92327168 
1489588066.042320, 0.003, 0.709, 16, -145.92327168 
1489588066.142609, 0.003, 0.709, 16, -145.92327168 
1489588066.242879, 0.003, 0.709, 16, -145.92327168 
1489588066.343145, 0.003, 0.709, 16, -145.92327168 
1489588066.443441, 0.003, 0.709, 16, -145.92327168 
