Time/s, Dynamo Reading/V, HES Reading/V, Potentiometer Value/7-bitFiltered Dynamo Reading/V, 14:21 15-03-2017
1489587695.379778, 0.003, 0.709, 0, -145.92327168 
1489587695.480124, 0.003, 0.709, 0, -145.92327168 
1489587695.580450, 0.003, 0.709, 0, -145.92327168 
1489587695.680708, 0.003, 0.709, 0, -145.92327168 
1489587695.780967, 0.003, 0.709, 0, -145.92327168 
1489587695.881224, 0.003, 0.709, 0, -145.92327168 
1489587695.981482, 0.003, 0.709, 0, -145.92327168 
1489587696.081739, 0.003, 0.709, 0, -145.92327168 
1489587696.181984, 0.003, 0.709, 0, -145.92327168 
1489587696.282242, 0.003, 0.709, 0, -145.92327168 
1489587696.382498, 0.003, 0.709, 0, -145.92327168 
1489587696.482757, 0.003, 0.709, 0, -145.92327168 
1489587696.583015, 0.003, 0.709, 0, -145.92327168 
1489587696.683274, 0.003, 0.709, 0, -145.92327168 
1489587696.783532, 0.003, 0.709, 0, -145.92327168 
1489587696.883781, 0.003, 0.709, 0, -145.92327168 
1489587696.984042, 0.003, 0.709, 0, -145.92327168 
1489587697.084298, 0.003, 0.709, 0, -145.92327168 
1489587697.184557, 0.003, 0.709, 0, -145.92327168 
1489587697.284800, 0.003, 0.709, 0, -145.92327168 
1489587697.385059, 0.003, 0.709, 0, -145.92327168 
1489587697.485318, 0.003, 0.709, 0, -145.92327168 
1489587697.585578, 0.003, 0.709, 0, -145.92327168 
1489587697.685835, 0.003, 0.709, 0, -145.92327168 
1489587697.786094, 0.003, 0.709, 0, -145.92327168 
1489587697.886351, 0.003, 0.709, 0, -145.92327168 
1489587697.986608, 0.003, 0.709, 0, -145.92327168 
1489587698.086856, 0.003, 0.709, 0, -145.92327168 
1489587698.187151, 0.003, 0.709, 0, -145.92327168 
1489587698.287429, 0.003, 0.709, 0, -145.92327168 
1489587698.387700, 0.006, 0.696, 0, -144.899543359 
1489587698.488186, 0.006, 0.696, 0, -144.899543359 
1489587698.588593, 0.006, 0.696, 0, -144.899543359 
1489587698.688995, 0.006, 0.693, 0, -144.899543359 
1489587698.789400, 0.006, 0.696, 0, -144.899543359 
1489587698.889800, 0.006, 0.696, 0, -144.899543359 
1489587698.990204, 0.006, 0.696, 0, -144.899543359 
1489587699.090607, 0.006, 0.696, 0, -144.899543359 
1489587699.190997, 0.006, 0.696, 0, -144.899543359 
1489587699.291402, 0.006, 0.699, 0, -144.899543359 
1489587699.391804, 0.006, 0.696, 0, -144.899543359 
1489587699.492207, 0.006, 0.696, 0, -144.899543359 
1489587699.592609, 0.006, 0.696, 0, -144.899543359 
1489587699.693053, 0.006, 0.696, 0, -144.899543359 
1489587699.793527, 0.006, 0.696, 0, -144.899543359 
1489587699.894005, 0.006, 0.696, 0, -144.899543359 
1489587699.994450, 0.006, 0.696, 0, -144.899543359 
1489587700.094893, 0.006, 0.696, 0, -144.899543359 
1489587700.195320, 0.006, 0.696, 0, -144.899543359 
1489587700.295762, 0.006, 0.696, 0, -144.899543359 
1489587700.396201, 0.006, 0.696, 0, -144.899543359 
1489587700.496676, 0.290, 2.385, 0, -54.8114511719 
1489587700.597116, 0.616, 2.275, 0, 48.5851091797 
1489587700.697558, 0.777, 2.375, 0, 99.7715251953 
1489587700.797996, 0.354, 2.304, 0, -34.3368847656 
1489587700.898440, 0.857, 2.349, 0, 125.364733203 
1489587700.998878, 0.325, 2.246, 0, -43.5504396484 
1489587701.099318, 0.490, 2.304, 0, 8.6597046875 
1489587701.199747, 0.964, 2.259, 0, 159.147767773 
1489587701.300196, 0.471, 2.314, 0, 2.51733476562 
1489587701.400628, 0.680, 2.262, 0, 69.0596755859 
1489587701.501071, 0.599, 2.346, 0, 43.4664675781 
1489587701.601583, 0.519, 2.227, 0, 17.8732595703 
1489587701.702029, 0.815, 2.243, 0, 112.056265039 
1489587701.802470, 0.180, 2.324, 0, -89.6182140625 
1489587701.902900, 0.042, 2.295, 0, -133.638531836 
1489587702.003414, 0.035, 2.246, 0, -135.685988477 
1489587702.103856, 0.052, 2.307, 0, -130.567346875 
1489587702.204289, 0.603, 2.253, 0, 44.4901958984 
1489587702.304734, 0.525, 2.330, 0, 19.9207162109 
1489587702.405178, 0.741, 2.243, 0, 88.5105136719 
1489587702.505622, 0.103, 2.227, 0, -114.18769375 
