Time/s, Dynamo Reading/V, HES Reading/V, Potentiometer Value/7-bitFiltered Dynamo Reading/V, 14:41 15-03-2017
1489588889.157214, 0.003, 0.709, 0, -145.92327168 
1489588889.257567, 0.003, 0.709, 0, -145.92327168 
1489588889.357859, 0.003, 0.709, 0, -145.92327168 
1489588889.458124, 0.003, 0.709, 0, -145.92327168 
1489588889.558393, 0.003, 0.709, 0, -145.92327168 
1489588889.658646, 0.003, 0.709, 0, -145.92327168 
1489588889.758904, 0.003, 0.709, 0, -145.92327168 
1489588889.859159, 0.003, 0.709, 0, -145.92327168 
1489588889.959416, 0.003, 0.709, 0, -145.92327168 
1489588890.059672, 0.003, 0.709, 0, -145.92327168 
1489588890.159934, 0.003, 0.709, 0, -145.92327168 
1489588890.260264, 0.003, 0.709, 0, -145.92327168 
1489588890.360527, 0.003, 0.709, 0, -145.92327168 
1489588890.460786, 0.003, 0.709, 0, -145.92327168 
1489588890.561043, 0.003, 0.709, 0, -145.92327168 
1489588890.661292, 0.003, 0.709, 0, -145.92327168 
1489588890.761572, 0.003, 0.709, 32, -145.92327168 
1489588890.861876, 0.003, 0.709, 32, -145.92327168 
1489588890.962159, 0.003, 0.709, 32, -145.92327168 
1489588891.062435, 0.003, 0.709, 32, -145.92327168 
1489588891.162710, 0.003, 0.709, 32, -145.92327168 
1489588891.262996, 0.003, 0.709, 32, -145.92327168 
1489588891.363281, 0.003, 0.709, 32, -145.92327168 
1489588891.463557, 0.003, 0.709, 32, -145.92327168 
1489588891.563817, 0.003, 0.709, 32, -145.92327168 
1489588891.664084, 0.003, 0.709, 32, -145.92327168 
1489588891.764360, 0.003, 0.709, 32, -145.92327168 
1489588891.864630, 0.003, 0.709, 32, -145.92327168 
1489588891.964904, 0.003, 0.709, 32, -145.92327168 
1489588892.065163, 0.003, 0.709, 32, -145.92327168 
1489588892.165437, 0.003, 0.709, 32, -145.92327168 
1489588892.265701, 0.003, 0.709, 32, -145.92327168 
1489588892.365978, 0.003, 0.709, 32, -145.92327168 
1489588892.466253, 0.003, 0.709, 32, -145.92327168 
1489588892.566513, 0.003, 0.709, 32, -145.92327168 
1489588892.666784, 0.003, 0.709, 32, -145.92327168 
1489588892.767060, 0.003, 0.709, 32, -145.92327168 
1489588892.867330, 0.003, 0.709, 32, -145.92327168 
1489588892.967604, 0.003, 0.709, 32, -145.92327168 
1489588893.067864, 0.003, 0.709, 32, -145.92327168 
1489588893.168137, 0.003, 0.709, 32, -145.92327168 
1489588893.268411, 0.003, 0.709, 32, -145.92327168 
1489588893.368700, 0.006, 0.696, 32, -144.899543359 
1489588893.469155, 0.006, 0.696, 32, -144.899543359 
1489588893.569575, 0.006, 0.696, 32, -144.899543359 
1489588893.670000, 0.006, 0.696, 32, -144.899543359 
1489588893.770433, 0.006, 0.696, 32, -144.899543359 
1489588893.870863, 0.006, 0.696, 32, -144.899543359 
1489588893.971296, 0.006, 0.696, 32, -144.899543359 
1489588894.071710, 0.006, 0.696, 32, -144.899543359 
1489588894.172142, 0.006, 0.696, 32, -144.899543359 
1489588894.272566, 0.006, 0.696, 32, -144.899543359 
1489588894.373003, 0.006, 0.696, 32, -144.899543359 
1489588894.473522, 0.058, 2.417, 32, -128.519890234 
1489588894.573949, 0.106, 2.601, 32, -113.16396543 
1489588894.674379, 0.081, 2.527, 32, -121.353791992 
1489588894.774819, 0.058, 2.382, 32, -128.519890234 
1489588894.875251, 0.077, 2.359, 32, -122.377520313 
1489588894.975694, 0.458, 2.485, 32, -1.57757851563 
1489588895.076118, 0.947, 2.449, 32, 154.029126172 
1489588895.176556, 1.221, 2.459, 32, 241.046033398 
1489588895.276992, 0.960, 2.346, 32, 158.124039453 
1489588895.377430, 0.941, 2.423, 32, 151.981669531 
1489588895.477864, 1.070, 2.449, 32, 192.930802344 
1489588895.578284, 0.967, 2.330, 32, 160.171496094 
1489588895.678713, 0.989, 2.365, 32, 167.337594336 
1489588895.779146, 1.041, 2.475, 32, 183.717247461 
1489588895.879577, 0.989, 2.330, 32, 167.337594336 
1489588895.980011, 1.173, 2.494, 32, 225.690108594 
1489588896.080429, 0.889, 2.452, 32, 135.602016406 
1489588896.180863, 1.244, 2.443, 32, 248.212131641 
1489588896.281294, 0.783, 2.298, 32, 101.818981836 
1489588896.381729, 0.999, 2.382, 32, 170.408779297 
1489588896.482163, 0.081, 2.372, 32, -121.353791992 
1489588896.582581, 0.071, 2.485, 32, -124.424976953 
