t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T
1497271279.862347, 0.790, 1.769, 2.556, 2.401, 0, 0.790, 1.769, 20.812 
1497271280.789051, 0.042, 1.782, 2.562, 2.404, 0, 0.042, 1.782, 20.812 
1497271281.708887, 0.045, 1.792, 2.581, 2.440, 0, 0.045, 1.792, 20.812 
1497271282.628864, 0.039, 1.779, 2.552, 2.401, 0, 0.039, 1.779, 20.812 
1497271283.548887, 0.068, 1.785, 2.556, 2.430, 0, 0.068, 1.785, 20.812 
1497271284.468862, 0.039, 1.782, 2.556, 2.417, 0, 0.039, 1.782, 20.812 
1497271285.388932, 0.139, 1.782, 2.581, 2.407, 0, 0.139, 1.782, 20.812 
1497271286.308895, 0.464, 1.782, 2.591, 2.440, 0, 0.464, 1.782, 20.812 
1497271287.229118, 0.142, 1.782, 2.552, 2.391, 0, 0.142, 1.782, 20.812 
1497271288.148919, 0.174, 1.792, 2.568, 2.414, 104, 0.174, 1.792, 20.812 
1497271289.068966, 1.341, 1.743, 2.498, 2.333, 0, 1.341, 1.743, 20.812 
1497271289.989008, 0.412, 1.789, 2.520, 2.430, 0, 0.412, 1.789, 20.812 
1497271290.908897, 0.052, 1.798, 2.562, 2.417, 0, 0.052, 1.798, 20.812 
1497271291.828874, 0.258, 1.798, 2.581, 2.401, 0, 0.258, 1.798, 20.812 
1497271292.748889, 0.042, 1.789, 2.604, 2.404, 0, 0.042, 1.789, 20.812 
1497271293.668879, 0.135, 1.795, 2.556, 2.433, 0, 0.135, 1.795, 20.812 
1497271294.588877, 0.313, 1.798, 2.597, 2.459, 0, 0.313, 1.798, 20.812 
1497271295.508866, 0.119, 1.782, 2.597, 2.407, 0, 0.119, 1.782, 20.812 
1497271296.428867, 0.039, 1.792, 2.565, 2.369, 0, 0.039, 1.792, 20.812 
1497271297.348893, 0.045, 1.792, 2.597, 2.407, 0, 0.045, 1.792, 20.812 
1497271298.268868, 0.184, 1.792, 2.539, 2.427, 0, 0.184, 1.792, 20.812 
1497271299.188866, 0.329, 1.792, 2.585, 2.423, 0, 0.329, 1.792, 20.812 
1497271300.108869, 0.103, 1.782, 2.562, 2.423, 0, 0.103, 1.782, 20.812 
1497271301.028940, 0.052, 1.798, 2.552, 2.436, 0, 0.052, 1.798, 20.812 
1497271301.948909, 0.032, 1.785, 2.575, 2.398, 0, 0.032, 1.785, 20.812 
1497271302.868881, 0.052, 1.789, 2.575, 2.382, 0, 0.052, 1.789, 20.812 
1497271303.788890, 0.039, 1.789, 2.546, 2.394, 0, 0.039, 1.789, 20.812 
1497271304.709021, 0.599, 1.805, 2.601, 2.452, 0, 0.599, 1.805, 20.812 
1497271305.629006, 0.422, 1.798, 2.597, 2.488, 0, 0.422, 1.798, 20.812 
1497271306.549044, 0.187, 1.785, 2.575, 2.414, 0, 0.187, 1.785, 20.812 
1497271307.469005, 0.193, 1.789, 2.565, 2.452, 125, 0.193, 1.789, 20.812 
1497271308.388992, 0.538, 1.747, 2.527, 2.365, 0, 0.538, 1.747, 20.750 
1497271309.309032, 0.338, 1.753, 2.494, 2.401, 0, 0.338, 1.753, 20.750 
1497271310.228899, 0.445, 1.808, 2.607, 2.494, 0, 0.445, 1.808, 20.750 
1497271311.149060, 0.593, 1.805, 2.639, 2.433, 0, 0.593, 1.805, 20.750 
1497271312.069002, 0.052, 1.795, 2.552, 2.436, 0, 0.052, 1.795, 20.750 
1497271312.988992, 0.110, 1.808, 2.556, 2.449, 0, 0.110, 1.808, 20.750 
1497271313.908996, 0.035, 1.792, 2.552, 2.469, 0, 0.035, 1.792, 20.750 
1497271314.829535, 0.042, 1.798, 2.630, 2.527, 0, 0.042, 1.798, 20.750 
1497271315.748956, 0.419, 1.805, 2.575, 2.494, 42, 0.419, 1.805, 20.750 
1497271316.668967, 0.957, 1.847, 2.575, 2.478, 8, 0.957, 1.847, 20.750 
1497271317.589023, 0.035, 1.792, 2.552, 2.459, 8, 0.035, 1.792, 20.750 
1497271318.508936, 0.516, 1.814, 2.588, 2.488, 8, 0.516, 1.814, 20.750 
